,features_string_format
1929,kumukuha kapal panga bam tibay bagay knya lodz
1075,haysst nanaman iniisip nitong babaeng
677,merry merry christmas
2939,ilng beses nia ginwa
2332,traydor yang ninoy halaga sinoman pumatay
193,bbm solid
901,idol kaso ayaw nang lawyer pera pera
1291,ayos
2370,sablay balita
1272,alcohol cologne
276,best actor
2483,sakit tiyan tawa caption bagay bagay matsing
2540,matatalinong tao silang uto uto
1675,hindi mabibilog utak tao hindi salita basihan du30 malkas
27,alam kala paepal since dota days nagsusupport bam
2304,maganda sibuyas piraso yong pangarap bbm natupad nsa sibuyas
289,wow supporting sports thank
1616,meeting
1913,maglaban sandro bam sandro
2781,man full confident unprepared real battle politics
2880,lenlen
2891,mapagpanggap
1763,hinanap barko san dadaan bus
1073,atty gadon makapagsasa nyan sayang nanalo honvirus
2366,lutang maka move
1973,got7 senator bambam aquino
148,bam maraming salamat supporta liga esports mabuhay kayo padayon
1708,lodz
12,yes maharlika fund
23,tama kayu
2384,jusme magpahinga nalang kalusugan wag pasukin yun mapapadali lalo stress buhay
2876,dreams ....
2111,mapag panggap
1131,parang bote nang softdrinks mas mahal plastic
2014,pretentious leader ....
384,god bless bam
546,thumbs idol
2602,ewan ayaw intindihin mali
2123,hay naku wala bang
1396,edi ninoy matagal syang inaantay nun
878,quibiuloy hinde convicted yong sinabe madam kasinungalingan aquino dilawan pamumuno joma ninoy
1610,wala kayang pwedeng ikaso ganyan
2433,sabihing feel laylayan
617,thank bam !!!!
2668,dont let rise marcos yun
1814,answer pesos negosyo
1612,mura yong sibuyas yong sayote
1627,nabudol hindi nman binoto
2162,wala man sasakyan pwedeng connection pilit elite supporter
684,liwanag dilim
816,idol kaso ayaw nang lawyer pera pera
2413,nyan higante higante drama drama harap media
2502,mapunta taning ulit kilusan
292,good riddance
1214,nakakabili branded bags nakakapunta ibang bansa sariling sasakyan
346,thanks bam good job
2706,dalawang aquino pres binuksan kaso tpos puro sisi marcos kapal mukha aquino
1134,san kukunin fund aquino gsis etc sana masagaot
400,mahigpit yakap forever kakampink
2472,debate bam sandro please want witness sandro stutter like father
2858,pacute leni
176,tama kayu
1680,self righteous woman without manifestation truth sobrang mapanira mapuri
1174,mythical glory 2879 points currently ign thebamadebayo
657,matalino nakaka intindi sara tao deserve 2nd chance perfect tao
836,present best christmas gift ever
608,mam imelda said divine justice waited patiently god made possible marcos back years sttonger ever
2970,pinklawan magnanakaw kamo
915,toni gonzaha wla siniraan toni
1807,totoo ??? luh
540,sumakay bus mananalo susunod eleksyon
1044,yess !!!
631,kaumay lage nirerelate million tao nmn tlga sinmahilig movie hehehe
1796,plastic balak atang tumakbo election
2551,traydor yang ninoy halaga sinoman pumatay
618,bam tara rank pinaka lodi senator
1737,pars kunwari maka masa pakitang tao
2333,patay pla
726,salamat suporta esports bam start gamers
1144,tama dyan lodz
2406,patawa ehh
636,tama kau
471,confirm wathdraw manny president antay kayo salute manny hari boxing
2268,events occured martial bad human rights abuses corruption killings
1233,hahahaahaahhah
115,thank supporting mlbb teams bam
765,ngayun tamang timing crisis mababa presyo financial market
378,fyi tumulong tnc dota players kuku armel gabbi tims maka punta ti9
162,mahigpit yakap forever kakampink
1122,madam lenlen malau election saka kng darating election inday sara makaka bangga
1505,pati building paligid tao pati kuryente poste
2130,natakot dilawan
2232,wala maisip
755,hangcute bam
791,true
1228,alam
912,tumpak
215,best xmas gift ever hehehe
213,mam imelda said divine justice waited patiently god made possible marcos back years sttonger ever
104,ipinapakita safe magtravel pinas prrd pbbm
627,president maam leni love poh ingat palage god bless
1666,particular team kayong sinusuportahan
2380,aabot
2100,kaarte arte
1165,hahahahahahahaha
2105,sagot mapagpanggap
271,bahala dios ......
379,god good
1589,wawa kayo makalugaw kayo sali bbm prd tandem 2022 peace
1400,fantastic fantastic fantastic fantastic elastic elastic elastic elastic ring ding dong ring ding dong
1684,hindi sandro nagpanuakala 1st lady lisa araneta marcos
1566,matic kunyari commute
718,dota teams palang suportado senator bam aquino player basta esports malapit
438,dyan susuportahan kita
1817,content boss
2222,baby fuentes bambu oil
1357,answer 300
1407,hidden agendamas maganda handa next halalan
63,god bless mam isiniswalat katotohan hanggat malusog kpa maganda pra mgkaroon enjoy kna peace harmonious family
244,idol kaso ayaw nang lawyer pera pera
2552,scrificial lamb ninoy taning buhay pra mtupad plano oligarchs
1576,boss bong taxi iurong pagtakbo eleksyon naka kotse security
2392,iyak
1681,pakitang tao boss
492,nice one lods
837,big check
1485,"2025 election coming preparation ,,,,"
1509,inarkila pla bus
1129,bwal syang magbus trip nyang nagbus basehan yaman bansa pagakakaroon sasakyan kundi pagkakarun maayos publc
3,far know bam natulong problema visa pinoy players international esports
2330,lutang mana nanay lenlen nia ....
1901,early nman gawlu
1738,pagawa bahay nanay leni
2684,nko mgglit ggwa nnmn nng wento pulahan kaan dhil dilwan btas nng libreng kolehiyo nng aaral
729,salamat napakagandang video
917,tama nagkakamali diyos nagpapatawad
1382,bagay boy 10k
1841,pinklawan ginamit dds kunwari sisi away marcos duterte takot marcosdu30 2028 parin
217,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
696,thank support ing community god bless
354,wow
706,thanks aquino
2628,ambot ninyong upat
815,maganda nang marcos hintay umpisa palang mas lalo kang maingit tapos hintay wag magmadali
2707,rest hell fucking joma sison rot hell
663,senator bam lets !!!!
2749,publicity tawag dyn hehe
420,leni cge nlng presidente
418,agree
334,hindi pensioner directly investable pera yang gsis etc ayun ipapasok hindi contribution tao
1090,election haha
247,galing tunay followers esports followers thanks bam
737,namn ulit sinulatan sarah kinukunsibti wag malugmok yjng tao yun wag depres
2396,hnd
408,bbm risk taker salute president mabuhay
301,well said kakagising idol
2432,hindi mananalo bumoto wag nilulumot kaka panira
1503,best gift filipino people
2388,publicity tawag dyn hehe
542,fan senator bam thank supporting community
1267,imaging nasa laylayan nanay
2462,uri basura
2862,magkikita kapatid hudas
1747,edad nauna
1983,hindi xandra pagbaril assumed soldiers killed ninoy
2292,lets patay tlga nice
279,nakaka miss senatorbam supporting games
49,gamer bam malakas sumuporta esports
441,leni cge nlng presidente
1745,revtax mayor palang pinarada bangkay kumander parago
2211,corykongpanotabnoy aquino magnanakaw corykongpanotabnoy aquino magnanakaw corykongpanotabnoy magnanakaw
899,sandro support trust
1710,kaano aquino
1789,awit pinanood blacklist tnc
2288,buti pansine kuda kuda presyo sibuyas kayo talagang millions patawa
517,magandan xmas gift
2665,kababayan gagamitin dilawanang pagkamatay aquino sana matuto pilipino
2378,anong gawin tatalunin maam sara lol
1658,cno ????
1324,pangit nman pakinggan porket hnd kapareho paniniwala murahin parang kau nagpakain buhay wag ganoon
675,dol umaasa sayo charot
733,totoo merry merry christmas
1805,boss mark bbmsarah tshirt
486,nice piece legislation nakikinabang hindi batas wlang pkinabang madla pagpalit pangalan naia
1594,nilabas maharlika wealth fund pinaliwanagan muna taong bayan ayan imbis maayos sana dami tuloy kontra
1148,best ninoy cosplayer
2528,nabawasan tinik pinas kasamaan hangganan
2275,sibuyas sunod bawang nanaman
787,bam pupush esports salute sayo
1785,shungabels maniniwala jan sumakay bus
1619,tumira matagal tapos bus video car
609,tama idol
22,want christmas
1936,naitinulong bansa
1375,ikahit anong gawin tatalunin maam sara lol
1979,jan tau nagkamali edsa edsa lubog polopimas
1287,dilawan puzzle
2524,boss kasama pupuntahan maaga wala palng nagawa
2745,bobo hehehe
2648,nagpapansin pinklawan hay naku
814,president maam leni love poh ingat palage god bless
1094,hala nasa moon
2850,hala delekado sumanim
2510,wala cla maisip pede cla tandem iraq
76,leni cge nlng presidente
587,supporter thank supporting esports community
2254,inutakan ninoy fem tapos ninoy inutakan nmn kano devil tlga
2239,mahalaga taumbayan nagawa adminastrasyong aquino puro paninira galit tinuturo taumbayan
704,god bless maam leni family
2139,tee
1540,canned goods
2652,bida bida tlaga tong len len paawa effect
1609,float
1102,hahahahhahhahaha
1223,yunh sbi madam imelda
1698,artista nlang kayo
2645,lets patay tlga nice
2215,lakas amats
850,met joma kid know joma gave fruit
2496,mar hind marunong humawak nang martilyo
2598,sana masipag yawa
533,bigyan bonos yarn
2169,commute nmn body guard ksma bus mas malaki gastos convoy payan
2657,hipokrito lenlen
390,ganda kanta bagay bagay
1391,count mark
219,madaya apektado kabuhayan pilipino
670,hero john amores lampa cry babies benilde players
1663,playing mobile legends bam
905,honorable people indeed put full trust
1597,grabe kayo
2785,cla makapag move
325,maganda nang marcos hintay umpisa palang mas lalo kang maingit tapos hintay wag magmadali
2145,tanga tanga
1383,nyang bus yun
2456,monster gun salute
1083,pong team niyo
1655,good gabi buds
1695,relate sara bush suntok sherif
558,pinakamalaking ambag esport scene pinas alam thank bam
2756,patay pla
2308,nlng lods nagbus noong cya alam meron tlgang prob pagsakay bus
2932,answer plastic artista kase eleksyon ganyan
2389,aga
646,pogi bam aquino
191,sinama pulitika showbizpasalamat mas marming bbm supporters nanood movie number movie
1008,bombelya
1268,basta
2632,plastik pota
1473,btw video ipinakita lucianda massacre
1673,naku ???
2644,korea kau dumiretso
1915,malakas kaba
1660,skill
720,korek
1164,hahahajahha
36,salamat suporta esports bam start gamers
1208,maboto
2961,wala kris 2028 haha sakit teh
494,tamang
1535,alam kun kayo pumupinta ospital pinagawa macoy samantalang pinagawa cory rebulto inubos laht asset pilipinas
2962,lutang kba
2037,choice wala kau paki heheheheh
2835,lutang rin
2968,naku kaduda duda magpaplano nyan
2283,pakitang tao iboto
1170,anak wala puro tapos puro sisimula lagi tapos nanalo respeto
2830,sobrang dami wala silbi magagandang batas natatabunan taeng batas
736,best christmas gift ever
127,solid neto bam aquino fan esports since dota days
1479,hindi kakampink lods oppose
669,hello idol
1542,rerent van mas less hustle byahe papuntang bicol
183,miss kita kuya
1833,naka gwantes safety
487,true buti natalo
182,jan napa follow
1405,tas nagpost bam aquino edited pic tas mukha bambam
2963,garter kukunin groom hita bride sibuyas sana meron
2522,naku hirap maipagmalaki idol binabantayan
2305,yong ibang vlogger confirmed pension post agad kya natural react kaming pensioner
2751,obob sagot abogado
862,!.. galing
1180,present
1011,p50
2191,salbahe tlga lugaw ibagsak nia bansa natin
2062,kayo2x nalang pinklawan
2053,peke lnng
851,tunay liwanag nagdudumilat 31million
2985,kagagawan side cory yellow evil binabawian cla inuunti unti sunod nyan naniniwala yellow evil advance rip
48,wag natin patulan bagkus hikayatin natin manahimik makipagtulungan susunod mamumuno
1143,real talk ganyan
443,solid tlga esports
376,dyan susuportahan kita
1885,dkn mananalo ulit .... congress stage pede baguhin source funding
1987,showie tlaga pati asawa nilalaglag grabe
1014,create jobs
1607,nakakapag balikan tapos pagdating pinas bus
1852,malayo sunod eleksyon magpakamasa maaga
722,true agree parang magic yong kauupo solve agad problema pinas
1403,wag patulan bro bihay clang bitter makkmove
2780,puro nlang kayo edit kawawa nlang kayo
898,bbm risk taker salute president mabuhay
943,looking young handsome bam aquino
1402,whats soj
187,korek
1821,subokan
505,pogi mark
2453,realtalk nanakawin yong corrupt dyan pulitiko hindi nakikinabang posesyon
2049,ewan ayaw intindihin mali
2089,pinklawan real
1202,bus netizen post kasma bus parang wla post
2167,cla makapag move
2878,dilawan tunay nagpahirap bayan pilit ibinibintang marcos
2966,pinklawan cla araw araw umaasa mabigyns nalaman gold ipapamigay
85,huh anong reasoning kapanipaniwala namang nagbubus pang naga jusq koya
205,tunay liwanag nagdudumilat 31million
2834,walanamg maniniwala mgayan idol
482,love love sara
1517,bbmsarah2022
1521,haisst iyan
2597,papasikat nagpapabango next election
1808,ayaw malubak sasakyan grabe kalsada bicol lalalim lubak
1253,hirap makipagtalo maxadong matatalino
2641,nmn gawa mana tyuhin
135,investible funds gsis kukunin hindi mismong pension mas right timing iinvest perang bear timing
1435,finally kaso gma remembered malungkot gma
1646,sumagit ganto bagong script wala nang maissue
939,want christmas
1030,31million tawa
1545,asan patunay nakasakay tlaga nanay bus pauwing bikol
1960,usually tao victim focus sided every situation
613,ehh patas
2949,nakaasar media ngyari mendiola massacre pinapalabas ngyari
1333,ans election
834,morning mark merry christmas
1284,kaway kaway
296,yehey
1315,kawawa kakampink hindi nagbasasa kaso rip
47,tam jan lods
2387,wala hulog sagot laging nililiko sagot tanong
632,boboto tony election
2031,pakitang tao nnmn lugaw hayy nku wag kmi kilala nmin papansin lutang
985,dol umaasa sayo charot
844,thanks support
2639,pakitang tao wag iboto
168,idol nice see
451,man dilawan appreciate apperance like suportado esport specially
2140,hayaan pahirapan susunod maglakad nalang
1288,wag kmi simply buhay bike
2072,content
2262,admin pabor dilawan nsa coment section puro bbm suporters outch
1722,poponda lenlen cute jan lenlen dala sako bag maniwala sayo
149,authored free edu ryt dinedma pnoy thanks contribution thanks prrd making reality
1553,solo !!!
1246,napansin bam aquino parang nagpaparamdam 2016 thank leni dun
1943,sure kumukulong tubig masarap sabaw tibola
2836,wala cla maisip pede cla tandem iraq
2073,madaming nakinabang pera kya pinag kaisahan marcos kht abugado media bayad gnya kadumi batas pinas kasabwat kano dyan
745,"magdiwang ,,,"
1401,please really pbbm right question whats happening real issue leni government system kabaklaan nalang
2861,parehas rin lutang
1379,count
2121,nilalaro taong bayan
1941,bus sasakyan 2nd hand parang mali
2481,far concern brains emotions puro drawing
1085,well
2623,wala maisip
592,bbm risk taker salute president mabuhay
1537,main boss
1320,kaluluwa goma hehehe humiram vanishing cream jerry nwwla joma
2600,inutil
2086,years namuno dilawan nahubaran maskara d30 nagawa tulay ilog
1906,pakitang tao ....
2225,nandidilaw paningin sayo hahahhahaha
725,best actor
1130,dilaw
886,proud akong ipaglaban bbm nanalo
2627,authored bat ibigay credit researcher lawyer nagsunog kilay pera ambag gosh tas ibribriefing andun
1725,syempre pang pakitang tao pra mauto tao
2536,wag nakakatawa tlga kau dyos lord never never
44,pahumble
1860,manage team kesa senador bam esports
2954,plastic kotse ordinary ong tao
2849,paktay tau jan
1210,trip boi inaano leni
567,ninoy hero true filipino love country much sacrificed life like rizal martyrdom
1021,sagutin abangan winners !!!
67,mahigpit yakap forever kakampink
2422,nlng lods nagbus noong cya alam meron tlgang prob pagsakay bus
1704,acting tama
828,duterte sakalam tunay malasakit
927,met joma kid know joma gave fruit
812,timing bam tama
1340,alam marcos matay ninoy aquino
230,ganda kanta bagay bagay
218,bsta kmi mulat mata nmin
369,alam kala paepal since dota days nagsusupport bam
2599,plastik pota
511,best tlga bam naka supportive esports team player lalo international game
979,happy
1613,bam pong team sinusuportahan niyo
352,idol boxing
1348,vegan facebook
2016,traydor yang ninoy halaga sinoman pumatay
818,ipinapakita safe magtravel pinas prrd pbbm
2253,hypokrita
56,masyang masaya
1502,piklawan
1409,makuha simpatiya tao sabihing maka mahirap maka tao
2557,nalang bahay umuulan lakad nakatapak
