,features_string_format
2275,gumagala yun dami kasalanan
2529,pangit nman pakinggan porket hnd kapareho paniniwala murahin parang kau nagpakain buhay wag ganoon
1668,walastik
709,300 hoping win
1634,saang mall
2631,kayong mamatay lenlen siguro mind praise weak leader take note digong nagsabi nyan kuya
699,nakapag travel ibat ibang bansa kakaloka char
623,inomka pang patulog
2679,pinkie pops yellowdds
145,dating pinas bglang simpleng mamamayan umay sayo leni
2682,tska bus laging stop
2430,idol kaso ayaw nang lawyer pera pera
103,tapos daming paruparo pagbaba bussabay labas rainbow
2530,puro nlang kayo edit kawawa nlang kayo
2280,paalala standing kaso wala kayo napatunayan
2440,hindi maka leni napapansin lahat2 iniipalan samantalang yong abusado batas dimo mabatikos takot cguro
759,ppansin iboto sunod election
1146,apaka
151,sabihing feel laylayan
340,saya saya yaho
2068,buhay nabigyan adrenaline
0,300 keys boncait recto
1515,round round
1194,nako bambam sanhi kaguluhan politika hshahsvdvdb
2304,mahalaga taumbayan nagawa adminastrasyong aquino puro paninira galit tinuturo taumbayan
1260,hello idol
1195,buti sana single captain
517,walanamg maniniwala mgayan idol
2382,ginwa tpos naulit second chances
677,sige pra masayang pera nla
2013,emotional damage
286,deserve pumatay 51k katao binulag niloko ideolohiya deserves fart salutes
1691,tanong mahal bilihan ngayo inport ibang bansa sibuyas kinawawa magsasaka pls pakisagot
977,waiting magpunta mark tuan mapagkamalan mark villar tahimik rin yun
1853,leni cge nlng presidente
138,epokrita
1782,bambam natagpuang nanilbihan gobyerno
1243,blackpink ready love reaction
587,mahirap mundong ginagalawan natin halos kalahi natin mapang husga kunting kakamali hinuhusgahan agad
432,damgo
2690,ginwa tpos naulit second chances
396,prouder coz !!!!!
2152,non sense content
460,patay patay nanakaw parin kalayaan pagiging presidente mamulat kayo
126,korea kau dumiretso
80,kababayan gagamitin dilawanang pagkamatay aquino sana matuto pilipino
186,yes lalo maharlika
2408,sos pati pagka matay pulitika respito nlng sana pamilya namayapa tsk tsk
2362,cory papatay ninoy mahalal pagiging presidente cory dimonyo
873,nasapian nanaman nanaman alam nanay lenlen
2095,parang konektado pagkamatay noy buhay bumubuhay sakin
802,agree
1610,round round
2244,nku wag awayin dilawan pong dilawan close pbbm ngaun
2649,batas natorture diba binago constitution diba kayo nakaupo palasyo hay nako
152,wag maingay mahuli naglalaro jackenpoy
1516,want christmas
1636,walastik
1342,nami miss boss humandabkau 2025 slots senatorial magwawaldas malaking kampanyahan dun winner
2115,pain ninoy total taning buhay alm cory alam ayan magppnalo
1127,"shock mark ,,,"
342,madaya apektado kabuhayan pilipino
324,hipokrito lenlen
408,pansin nay lenlen diba sumakay rin motor mapansin susunud wawalis daan
1978,kayong mamatay lenlen siguro mind praise weak leader take note digong nagsabi nyan kuya
2647,one martial law year though
2584,todas master mind danding
331,call wag kaming hamunin
958,palaa
1741,bambam shot puno
1324,iwan
1387,bombelya
2363,plang marites nka ban langit empyerno
67,true papampam len len
1908,dilaws sinabi enrile pineke assasination maniwala dilaws sinungaling yang enrile
1318,kalabanin dilawan kim jong
1109,tawang tawa comment kilala binoto based comment bawal shushungashunga
528,pahumble
1419,bambam baembaem
2092,sayang
162,wag nakakatawa tlga kau dyos lord never never
2466,nlng lods nagbus noong cya alam meron tlgang prob pagsakay bus
1924,square inch square ins
292,cge subukan nyong ipain tao hindi kakilala kang ina itinuring tapos ipapahamak anak
2657,leni cge nlng presidente
1750,saang mall
823,experience aktibista
1640,siguro malakas mambwisit hindi uubra
2527,wala saysay maliwanag tunay bayani bayan marcos
2512,sau kuya comment pinilit maniwala imposible sau bus orrd taxi naniniwla
544,dreaming
2559,bbm sara solid
306,agnas
640,pinklawan totoong gahaman
1780,golden era hahaha makabili basic needs mahal paranf goldnag bigas nbigyan knb tallano gold napala
805,thats point cayetano 2nd survey bbm first similar president
2317,balak patayin hinawakan dawalang pulis kamay ninoy
2231,square inch square ins
2508,napunta galman nakakulong mabuksan uli kaso nayan
413,sure kumukulong tubig masarap sabaw tibola
407,pagkakataong magbago amores
2681,totoo idol patay traidor pinas
50,naku ..... bobo tao ..... halos alam tlga sakit noynoy aquino .....
2543,reenactment
1045,hahahahhahahaha
231,maawa kayo pilipinas
283,karma real
375,tunay magnanakaw
1372,boss tiga
526,ordinaryong tao big deal bus tawag dyan papansin kunyare pang masa tau sasakay pakulo nyan
2226,yes bbm sarah solid
687,kampanya congress nagcocommute ending picture taking pla pra sabihing nasa laylayan
764,tapos presidenteq
1449,kaluluwa marcos senior hindi rin matagpuan
2227,pinanalabas hindi basta marcos
2674,sasanib raoul manuel !!!
2094,reenactment
1731,hahahahahhahha shuta mhie
146,yes tama
1263,unahin emosyon reading comprehension bow
1525,apaka
1936,hala delekado sumanim
1138,hayop
1569,blackpink ready love reaction mhie
2265,boss mali iniisip pihado joma kasama ninoy cory noynoy sin ramos iginala muna joma kapaligiran porkgatoryo
2048,dyan silya elektrika shotgun sana ginamit sabog ulo
2293,nku wag awayin dilawan pong dilawan close pbbm ngaun
1728,clean good
2661,totoo sobrang mahal sibuyas umabot 700 kilo yong simpleng taong soj dimo nasagot proud
1201,comment nalang
2236,gumagala yun dami kasalanan
502,publicity
2339,tunay bayani bumaril hindi ninoy
1297,wawa
622,ubos ata gala nong eleksyon
439,tumpak kakatawa
1215,malakas nagkakasakit nang hihina bat malakas tandem
2106,every country martial law dilawan nagpapangit martial law
768,wow maisip
168,trot sobrang plstic lutangars
2699,naunanpa kesa enrile
1872,tagal cory pwesto hindi pinaimbistigahan tsaka parang tape
1402,revtax mayor palang pinarada bangkay kumander parago
476,len len ksp
468,nanaylenlen
955,wala
1561,wala kabang reaction vid ready love
1654,shet
1659,ahahahahha triggered
1112,wahahhahahah
1777,love song much !!!!! kinda song start yourr day beautiful
2520,naku wag namang sumanib lutang
1676,hoy bat hinde quiboloy usapan pqg usapan wanted hinahanap fbi
2241,sniper yun pla tutukan kitang kita cno pumatay
1816,kilalaning pamilya yayaman
202,dina jaja
569,simple talagang bys sana nang nagpost nakasakayan man sana meron nakavideo nakasabayan
401,satisfying eyes
1099,love song much !!!!! kinda song start yourr day beautiful
272,bigay leni bbm yrs ingat guyz parang sanib pwersa cla july
657,dami kuda kabila
1725,balik kna gabby sana
615,lakas mang trip lenlen
656,toni gonzaha wla siniraan toni
1977,tagal panahong ibinintang marcos akala hindi alam marunong god
612,syempre
60,magaaya nanaman yun magrally
70,solid pbbm vpsara
1638,pansin buraha
1085,bambam aquini taena
903,dumami komedyante nong election
1693,hahahahahahahahahahhaahahahaahahaaha
2023,makapiling tatay masi kriminal naka kulong
2477,namatay ninoy lumabas cory namatay jessie lobredo lumabas lenie
856,tapos kalagitnaan highway pumara makakakita gitna hiway pumara hindi terminal
2549,actual video nng bnaril ninoy bat sbi libro sniper
420,ayaw malubak sasakyan grabe kalsada bicol lalalim lubak
1635,iwan
2450,hala nasa moon
788,obob sagot abogado
2301,lakas amats
1311,hahahaahaahhah
1960,kilalaning pamilya yayaman
2189,ipinapakita safe magtravel pinas prrd pbbm
89,maniwala dala signatures bags
1410,ser
2368,vote manny dept water spokesperson
2417,sumanib nlng mama lenlen
726,ora kikita
2588,fyi mayor plang asawa kpg lumuluwas cla bus tlga hnpin old interview asawa mayor plang jessie robredo
984,sna mpansin nio pki check nio uniteam bataan name ofw taiwan bbm supporter
2377,15k plus totoong tao 31k ghost magician
1713,walastik
451,pakitang tao rin 2023
252,tawag paawa effect
319,mahal sibuyas noh yayamanin yarn nkakagoodvibes
107,puro pakitang tao style
461,paandar talunan makamove pinklawan
1014,atty gadon makapagsasa nyan sayang nanalo honvirus
1407,waiting magpunta mark tuan mapagkamalan mark villar tahimik rin yun
1467,shuta ahahahahahahahahahahaha
732,best xmas gift ever hehehe
1975,part bong bong marcos patay ninoy hindi makakapag pabago desisyon iboto bong bong
33,naghirap naba len2 masamang plano len2
1261,great president philippines
1069,hahahahahhahaha shuta
117,mana mana
2008,enexplain mas nia bus nakakatulog wala personal driver naga nagdadrive kotse
910,inang lenlen masaya kayo
2137,think pension come investments
443,wag nyu pansinin pinapansin lalo magwawala hayaan nyu bata tahan
52,non masabi hanap butas tapos tahol tahol haha
2034,hangin muna subra pakyaw
303,kumita yang pabusbus effect beatification canonization
530,hehehe cguro viral
1019,matanda enrile nauna
2224,nsa imburnal
1427,kala mark tahimik
2551,moreno escort ninoy bumaril nasa hagdanan plang binaril
2015,wag kna umattend idul mane less talk less mistake
522,yng tumututol ayw yumaman pilipinas
1308,potek walastik
1518,haha
2021,edsa revolution hell revolution
548,pinklawan asar talo
749,nio ohh
619,basic manila baguio 6hrs nku lugaw wala maloloko nlng
377,luh nagkalat nman toxic lods pakiwalis
2641,puro nlang kayo edit kawawa nlang kayo
2202,hes dead next renato casino leni ....
254,ata 2028 obvious plastic
2364,sobrang talino lodi lock utak
320,sinab ing road trip bus idol
1276,gagi hahahahahahahhahahaha
1686,hahahahahahahahahahhaahahahaahahaaha
251,tanong paba
325,pinklawan real
1116,iwan
913,nagsama
1675,nagmukha syang katawa tawa
1391,tawagin carpio
1666,comment nalang
924,alam mass offering churches ..... yun alam nameng assembly
781,jusme halos nasa katawan gamot
164,kaumay lage nirerelate million tao nmn tlga sinmahilig movie hehehe
838,nasanay lods mapansin nanaman diba
1010,malakas nagkakasakit nang hihina bat malakas tandem
312,pbbm forever
1426,ready love reaction pls
2179,galing joke
1091,matanda enrile nauna
772,real dreamer hell 6salutenjoma
1444,haha
644,tamoh !!!!
1583,bbm moments hindi marunong magfact check
275,tam jan lods
1062,"shock mark ,,,"
1986,madaming nakinabang pera kya pinag kaisahan marcos kht abugado media bayad gnya kadumi batas pinas kasabwat kano dyan
1262,ramos lods pede kmi lumapit sayo charity nmin girls orphanage pamp sana mapansin salamat godbless
2254,patunay nnanatiling tapat robredo cya wlang ibinulsa
240,mabuhay pilipinas
636,way another aquino
2487,inutakan ninoy fem tapos ninoy inutakan nmn kano devil tlga
1044,hahahahahha yowo
1706,duterte nakaupo lalabas anak bonjing
2524,hangin muna subra pakyaw
1906,sniper
641,puro plastikan puro kukunwari leny lugaw bilib sayo pagpuounta abroad babangka panindigan kaplastikan
2145,part bong bong marcos patay ninoy hindi makakapag pabago desisyon iboto bong bong
1788,matanda enrile nauna
2214,look whos talking trillanes back talks china yun uncle ipa legalize cpp saf44 madami
406,ganun nmn .... gold bas pnoy ala mabawi yun
1334,ood umaga mark
1585,potek walastik
1281,gagawing talk show game show pinas
901,patay nba updated mark kilala sure lutang mong kilala
1981,fyi mayor plang asawa kpg lumuluwas cla bus tlga hnpin old interview asawa mayor plang jessie robredo
2328,mas makakapahinga bus masmalaki matitipid bus pauwi bicol
1875,hinanapan justice cory ninoy means tlga sacrificial lamb tlga like jessie robredo
2104,mas naniniwala kame dating enrille kesa pinklawan
1136,nagtweet former senator bam aquino issue
1663,hahahajahha
1645,ganda kanta bagay bagay
1811,scrificial lamb ninoy taning buhay pra mtupad plano oligarchs
937,noto dilawan
97,ask page tiktok uniteam bataan offered job different countries andun pic press bbm legit
2620,kita sundalo sumusunod sakanila wala papalapit babaril bbm parin wag gamitin bbm
561,grabe mark realtalk
665,daig papuntang hours hahqhhqhq
1529,atty gadon makapagsasa nyan sayang nanalo honvirus
2146,flush uli inidoro
578,tama kayu
373,dyos lenlen kya magppaawa knya supporters
669,malayo sunod eleksyon magpakamasa maaga
178,court appeals decision masunod
874,iyak years nmn silng tambay
1594,lol adik
2458,sayang tlaga nabudol
2616,fake mas alam pamilya tax issue
469,tlaga nmn kokoda wla nang gosto bsta ikagaganda bansa ntin
2564,kayong mamatay lenlen siguro mind praise weak leader take note digong nagsabi nyan kuya
2006,umatend smni debate
668,kaninong side laging babanggit tallano gold yun umaasa
1982,mas naniniwala kame dating enrille kesa pinklawan
674,yes people est infra thru jobs gain income family
2220,patunay nnanatiling tapat robredo cya wlang ibinulsa
2583,meron naka encounter tyo lawyer lutang
2424,ayaw tnggapin tlaga sobrang sama nman hnihntay loseper
351,magdudusa impyerno
705,woho legit
2069,efficient always
1727,love song much !!!!! kinda song start yourr day beautiful
2626,sayang tlaga nabudol
2446,sau kuya comment pinilit maniwala imposible sau bus orrd taxi naniniwla
2668,??? ehh pinayagan file candidacy tapos ngaun kayo magsasampa olet kaso hay nako axept2 oag time
565,hay nku bias nnmn
2694,sisihin yun pangatlong pulis tinignan
1798,commander chief alam
1886,meron naka encounter tyo lawyer lutang
194,pinipilit prrd hindi bagay
585,hay naku wala bang
1222,pamasko
1257,boss tanong sayo proud kaba soj
2407,aquino president ayaw pabuksan kasinungalingan ipamalita danding nagpapatay ninoy
844,ganon papansin
2401,nonsense aquino
1220,aliw basa basa muna
773,saya sayasa jollibee magaalmusal mmya work
1305,kuya reaction video ready love
2484,ehh wow
965,ahahahhahahahahhahahahhahahah ansakit chan hype !!!!
402,lutang idol
1824,itanong cory kng papatay
1658,bambam natagpuang nanilbihan gobyerno
1856,events occured martial bad human rights abuses corruption killings
411,bka nangangampanya
384,yess !!!
22,jusmiyo marimar maka move nasa kabila ilang partido naupo nmn napa bansa
2277,sniper
559,uuwi kayo salubungin kayo milyon tao salubungin kayo plus tao welcome
1909,naku sana pauwiin pinas bangkay ilibing dun libingan bayani
1190,waiting magpunta mark tuan mapagkamalan mark villar tahimik rin yun
1036,korek nakakatuwa nganlangbisipin anu ngat gan kuya noh wawawa
2281,kaluluwa goma hehehe humiram vanishing cream jerry nwwla joma
142,patay jan tuwad daan kabarilan boss
523,forda picture ferson
1314,san reaction vid ready love
819,legit tol palitan taning
2288,tutukang binaril talos sniper
1951,ayaw tnggapin tlaga sobrang sama nman hnihntay loseper
1003,hahahahahahahaha
2133,congresswoman lagi bus search reason bus
514,forda drama
2093,itigil dalawang aquino pangulo ayaw paimbestigahan pamilya aquino kamaganak nagpapatay
1242,hahahahahaha kaluka
1478,ood umaga mark
2488,dalawang aquino pres binuksan kaso tpos puro sisi marcos kapal mukha aquino
786,lutang mana nanay lenlen nia ....
7,boss nakakatawa
1980,push paniniwala
1726,wala nay magpailad rong panahona
2193,naunanpa kesa enrile
2266,pnuorin intervieq nsa naga cla
1878,tas infra sasabihin
1185,taga kabilang parlor
1483,apaka
869,malapit election kagawad manalo lenlen
784,xmpre pkita tao
739,papansin lenlen
224,gun salute imposible nman militar
163,yes umpisan uli pangngampanya house house 2028 election
1235,argus
1930,atty easy
2503,nagtago
2459,hehehe nireready 5yrs hintayin
982,hahahahahahhahaha
2233,loob eroplano binaril totoo mayroong naka tutok ninoy marcos bintangan god knows
557,another pinkwaya butata
2562,boss mali iniisip pihado joma kasama ninoy cory noynoy sin ramos iginala muna joma kapaligiran porkgatoryo
1992,sqbi and2 lupa wlang mapupintahan impyerno maghasik npa lumaban satanas
899,erap namam bat bus jusko punta bicol rerent sasakyan komportable byahe
1251,matanda enrile nauna
2409,tanong bat gigil gigil kyo knya magbus man habal habal pake
1408,bambam baembaem
556,pinklawan
2516,naku wag namang sumanib lutang
703,yaan tanong bbm laging kasama
121,alam pinagdadaanan tao tayong kakamali wag manghusga
832,best gift filipino people
1100,hello mark
821,lakas maka guanzon avail years lumpsum pension gsis
1230,reaction blackpini ready love
1097,new hair madam intro
2153,dalawang aquino pres binuksan kaso tpos puro sisi marcos kapal mukha aquino
2172,dilaws sinabi enrile pineke assasination maniwala dilaws sinungaling yang enrile
2567,pulls escort sasalakay babaril wala syang aksyon imbistigahan
102,angel labas madilim loob
928,bambam baembaem
2410,fake news poisoned
542,epal effect strategy nay len lalo nakaka inis gawa
141,mapansin hindi napapasin ingay
2053,pagusapan
800,bbm malakas
1625,senador bambam
431,uyy back
2435,fake mas alam pamilya tax issue
1440,ser
90,solo trip arkelado buong bus
1530,popoy
367,early nman gawlu
1734,hahahaahaahhah
2263,nagtago
1503,wag boboto
2696,bat ganun lakad parang lakad maayus
1154,pasko reunion
568,sakitin
2322,marcos rin
1898,hes dead next renato casino leni ....
1927,sus ngsyun sana bbm sara malakas
1023,noto dilawan
75,hipokrita pakitang tao earth maghintay bus hindi sakayan
427,sasakyan yata naka sunod
589,makalusot
2473,edsa revolution hell revolution
2014,traydor yang ninoy halaga sinoman pumatay
322,subokan
112,kitam
529,tama effect
1839,sus ngsyun sana bbm sara malakas
1004,hahuhu
1417,new hair madam intro
2103,sos pati pagka matay pulitika respito nlng sana pamilya namayapa tsk tsk
1156,ocfemianapansin naghanap movie toni puro nasa directors club almst tiket pano makakapanood masa
2001,pangit nman pakinggan porket hnd kapareho paniniwala murahin parang kau nagpakain buhay wag ganoon
1810,pain ninoy total taning buhay alm cory alam ayan magppnalo
989,dumami komedyante nong election
2671,15k plus totoong tao 31k ghost magician
818,pano mapapansin nagbus
1821,patunay nnanatiling tapat robredo cya wlang ibinulsa
2271,sisihin yun pangatlong pulis tinignan
1224,still waiting ready love reaction
2658,tagal panahong ibinintang marcos akala hindi alam marunong god
595,maagang pamasko congress pabor mif tik 2million bbm
173,sinubukan !!!
1817,sayang
2337,kakampekpek dyan wag kayo umasa manalo manok
2219,vote manny dept water spokesperson
872,korek kuya mark nagtataka gingawa nakaupo dami kontra kaloka wala silang magawa puro kontra hays
180,grabe maka move
423,tama jan kau
1414,still waiting ready love reaction
1287,wala kabang reaction vid ready love
1445,bambam shot puno
2205,post pics face laugh dont right post pics video come
1432,pamasko
564,lilinis bahay aabutin boong araw tuloy mpa kinabukasan buong nansa
1434,auq grabe silaa
1674,hahahahahaha
893,kainuman joma osama bin laden
1396,ibigsabihin hindi kilala oldies
1649,malakas nagkakasakit nang hihina bat malakas tandem
321,morning mark merry christmas
1283,????
968,hahahaahaahhah
1949,ginwa tpos naulit second chances
593,ipagpahinga kalusugan kris papatayin yta kapinklawan
464,nagminatay nmn gani kris dadamay
1499,bayad buy ayy este banat bay
1582,pamasko
691,kilala nuon
2213,leni cge nlng presidente
486,wag dyan kayo
584,pra kaawaan ulit
2420,god bless maam leni family
130,hay naku kaartehan paiiralin kris sakali
1035,kwento
2085,hinanapan justice cory ninoy means tlga sacrificial lamb tlga like jessie robredo
2178,nanlibre
170,hays buti nmn sinu susunod pwesto nia rappler
1093,boss mark bbmsarah tshirt
475,lutang paren
1453,hahahaahaahhah
1953,nagpapatay ninoy kadugo
1629,aliw basa basa muna
1743,gagi hahahahahahahhahahaha
2046,nku wag awayin dilawan pong dilawan close pbbm ngaun
2555,hoy hindi mauuto
1833,sobrang talino lodi lock utak
1124,atty gadon makapagsasa nyan sayang nanalo honvirus
917,buti sana single captain
1320,"shock mark ,,,"
343,sisisi nasayang boto pbbm
706,seryoso boss patay
1484,mabubuang jud pinas ganyan
1694,nagsama
2577,cory papatay ninoy mahalal pagiging presidente cory dimonyo
1443,"shock mark ,,,"
1401,pogi bambam kagabi ugh
533,afford trip stay weeks referring personal trips huh
981,nami miss boss humandabkau 2025 slots senatorial magwawaldas malaking kampanyahan dun winner
567,alcohol cologne nawa palaring manalo
1164,comment nalang
2199,mapunta taning ulit kilusan
210,mahal toni nanonood sine busy work kasama 31m
2557,todas master mind danding
1029,ganda kanta bagay bagay
2498,simpleng buhay gsto nla cla maluhong pamilya kht nging dilg sec asawa commute prin cla anak
2365,fake hero
1329,hahahahahahahahahahhaahahahaahahaaha
1415,????
2376,utot
576,ngawa pinkiss
32,present
1719,ready love
1805,hindi kakampink lods oppose
1420,wikipedia source
127,bka prank
1614,wikipedia source
1929,congressional rep bubus jess robredo friday night bubus uwi naga maneho hrs
2332,nlng lods nagbus noong cya alam meron tlgang prob pagsakay bus
891,presidente planeta
2536,sumanib atom rissa coco atb
895,matic kunyari commute
1070,unahin emosyon reading comprehension bow
822,sana pagkawala tuloyan bumalik tahimik pinas
1316,ser
1009,smb
1661,leo martinez aka robert bumaril
1990,one martial law year though
1204,nagtaka ganon comment walastik
2040,ehh wow
1651,ready love reaction pls
85,show ika
2035,mas makakapahinga bus masmalaki matitipid bus pauwi bicol
233,bbm sara win
635,hahahahaha lenlen
2113,makapiling tatay masi kriminal naka kulong
1303,comment nalang
2540,plano ninoy vedio takbo gunman punta ninoy buddy guard halata
1767,haha
250,plastic balak atang tumakbo election
2630,umatend smni debate
1673,tama maharlika fund
1890,layo ganda kaptid nyang disiplina
2210,galing joke
605,hindi batas militar nsa pagbbgo
616,pbbm mahilig manuod movie
850,maawa 31m enough dramahan
2638,joke
1700,boss tanong sayo proud kaba soj
2289,namatay ninoy lumabas cory namatay jessie lobredo lumabas lenie
372,paawa effects
586,linyahan talonan lods
1716,sandali pagout magreact ready love
1208,madaling hulaan presidente binoto true
1656,pansin buraha
2208,ayaw tnggapin tlaga sobrang sama nman hnihntay loseper
2073,tska bus laging stop
510,korik
26,magkariton hindi tatalab eksinahan ganyang artista alam alam tao
2262,flush uli inidoro
1238,sos
1818,paalala standing kaso wala kayo napatunayan
2002,kagagawan niyan alam ninoy mamamatay
2370,makapiling tatay masi kriminal naka kulong
1207,nako bambam sanhi kaguluhan politika hshahsvdvdb
1436,ocfemianapansin naghanap movie toni puro nasa directors club almst tiket pano makakapanood masa
234,daming ganap mama lenlen
378,bida bida tlaga tong len len paawa effect
2494,nakaasar media ngyari mendiola massacre pinapalabas ngyari
1761,gagi hahahahahahahhahahaha
1627,batas
1286,malakas nagkakasakit nang hihina bat malakas tandem
767,gabby nagmana pati kabaitan suplado
124,wag tau stress ndi nla mggwa guluhin ulit pilipinas
2321,tee
2695,tska bus laging stop
973,matching
562,nalang sinisi pangulo hay nako
1117,tumingin kayo
1037,sos
1140,pasko reunion
209,part 31m pro nanood trip pinoy movies
745,pro namatay
2582,whats big deal galaw suspect god dog smh
1142,bambam aquino realquick
365,atty laos
2472,kayong mamatay lenlen siguro mind praise weak leader take note digong nagsabi nyan kuya
1791,kagabi nakitawalastik btw love hat
1226,ilng beses nia ginwa
2384,nanggaling pension dba kinita investment
1459,madaling hulaan presidente binoto true
1216,kalabanin dilawan kim jong
2132,choice wala kau paki heheheheh
418,hahaha tama pamana mama lyn lyn wala ayos utak ....
659,mayaman mas pinipili plane kesa bus pinag iipunan spot hayst epal
1618,wikipedia source
354,tama idol
1657,malakas nagkakasakit nang hihina bat malakas tandem
2171,become nagbubus province manila natigil
35,hindi sinagot tanongsabi sasagutin tanong
1476,blackpink ready love reaction mhie
858,nagpapasikat
1993,square inch square ins
1947,lalaking lumapit bumaril ninoy
