,features_string_format
531,mayaman bicol
1746,word day walastik
1441,alam mass offering churches ..... yun alam nameng assembly
306,kayong bumangga pader sara du30
801,malooy tawon katawhan
340,god bless mam isiniswalat katotohan hanggat malusog kpa maganda pra mgkaroon enjoy kna peace harmonious family
2485,nanood bam pano lampasuhin nxpe
477,case dismissed
139,corykongpanotabnoy aquino magnanakaw corykongpanotabnoy aquino magnanakaw corykongpanotabnoy magnanakaw
1901,matanggap ilang dekada taung napaikot ganyan
82,paandar neto mama lenlen dyosko
109,bitter pati mmff dindamay tagal tagal mmff tradition nuon jusko dinamay politika wala nman ganyan dati
1536,wala
2147,think pension come investments
1876,binigyan nang chance hndi nagbago
974,hahahahahha yowo
860,lutang maka move
1832,iyak napahiya todo
981,6years need maka bawi
2068,kano bayad sayo ???
2248,mndaraya tlga kwatan
1993,basahin ayan sinabe sandro marcos
441,wla finish ganyan mangyayari
1694,dumami komedyante nong election
893,basta nakakatawa nalng mangyayari
1350,still waiting ready love reaction
887,mukhang nagpapapansin nman ina
2431,cosplayer
1742,nagsimula nagpapa veda making things messed recent panis
944,hindi sandro nagpanuakala 1st lady lisa araneta marcos
207,blck game bam
2365,naiintindihan dds trolls
2532,wag magpanggap bbm parin
1726,blackpink ready love reaction mhie
229,bam .... galing mlbb fan
429,thank aquino
727,yesnow burn hell
541,mabuhay bam !!!!
1275,payr
2551,best actor
155,dilawan tunay nagpahirap bayan pilit ibinibintang marcos
796,call wag kaming hamunin
896,tumpak kakatawa
2027,leni wala bang sawa nako lugaw namn champorado wag puro lugaw bagyo nanga babagyuhin lugaw wag ganun
1345,matanda enrile nauna
2556,answer election
1618,new hair madam intro
680,thumbs idol
297,bumoto rin marcos rin sangayon pakialaman pundo
618,inarkila pla bus
2432,hala delekado sumanim
381,sana kakayahang bumili sasakyan
1634,indi hinatid
2212,naku sana syang sumanib lutang
1415,bert tawa marcelo
2238,kikilos camera
488,papansini nman
2291,house house kayo ulit election
1347,bambam walastik aquino
1759,lol adik
1654,duterte nakaupo lalabas anak bonjing
2091,hanging ngaun wala clang napatunayan marcos pamilya pumatay ninoy
1300,gitna nalang magbenta nalang ice cream
785,yhere dreams
588,binoto namen buong family bbm kxo dhl kmi nsa abroad ofw kng parents nmn matanda pamangkin nmn mhlig muvi panu
977,love kayo
1340,atty gadon makapagsasa nyan sayang nanalo honvirus
2011,pretentious
2090,salot
1594,salceda rep gsis twg
2135,gagawing 400
1113,twin brother aquino
224,naku ..... bobo tao ..... halos alam tlga sakit noynoy aquino .....
998,hay naku
592,maharlika wealth fund
2555,patay pla
2680,ayy corrupt npa
1879,natawa sinabi pakawala marcos bam aquino palpak campaign manager
433,thank supporting mlbb teams bam
578,jusmiyo !!!
339,nabaliw nyan
228,wheels bus
261,sisisi nasayang boto pbbm
1883,katropa sasabihin
2665,binigyan nang chance hndi nagbago
2164,sablay balita
223,makinig kau mabuti lalo wala alam kuda kuda pwd libre search
1637,pansin buraha
1285,pansin buraha
292,double dead gawin chopchopin tas sunugin triple dead tuloy
275,parang naka lazy boy seat bus
600,foi bill transparency none gain trust thats answer transparency forms
632,garter kukunin groom hita bride sibuyas sana meron
245,agree
1373,bbm moments hindi marunong magfact check
364,bitter yarn
782,cno ????
2488,mas kalbo aalalay dinidik dik kpwa senador
1888,dilawan
402,hinde declare marcos martial law magiging communist country tong pilipinas
1517,krazy angkas
1661,smb
644,oracan
2000,pta officers
1663,skill
2510,naiyak 100 kaming mulat mulat dead yang edsa revolution nauto 1986
1074,bambam aquini taena
1117,hahahahahhahaha shuta
2036,dilawabubu
27,neverforget notohistoricalrevisionism
1163,padding
1281,tawagin carpio
60,iiyak rin sure
2315,palastic
1433,kagabi nakitawalastik btw love hat
1119,boss tanong sayo proud kaba soj
976,hahahahahha yowo
2030,asus ngsalita
775,wah wild tauhan
1477,hyttss
1607,pogi bambam kagabi ugh
1702,150
795,never rin
1605,kalabanin dilawan kim jong
2276,usual dilawan pinklawqn madre pari hayss
1311,wow nka wheel chair ngaun
725,malkas manumbat
2385,nagcoconstruction tas nakadamit pangpasyal tas nakagloves
1977,kanta muna guys tanim bro pukpok nakayuko magpintura makatayo maghalo nalang hapon
2662,disparate
273,idol nice see
1765,maybe got lost translation
2406,layo ganda kaptid nyang disiplina
1734,sna mpansin nio pki check nio uniteam bataan name ofw taiwan bbm supporter
2050,sana masipag yawa
65,korek dyan shawie
1842,masama batas militar baket nilagay parin 1987constitution
1229,indi hinatid
2646,31m silent smile trust bbm maharlika
2366,quadruplets
975,kala butters
832,anyare manay
1950,salamat pangalan iboto
746,publicity alam lutang nayan naka tapos nagbus
1060,bad sasabihin dasurv
321,basta inisyal pangalan dalawang matigas ulo
2351,dont justify unjustifiable confidential fund
313,gumastos million million election sariling sasakyan
439,libingan bayani dalhin
1935,plastic sagot
2398,ulit kayu wag
2041,dami pera bambino
1716,mendiola video
2691,flush inedoro
2597,gma nakawheelchair neckbraces whole term pnoy himalang gumaling time prrd taz pasayaw2 party
2500,photography
567,gasgas nayan !!!
953,ready love
5,busy life back life new year
604,minktae
2480,ata something kinikilos nakakatawa jan
1849,sana best actor
890,yunh sbi madam imelda
2452,hihihihi kya len len kawawa ksi cnunod nia bambie hihihi
1047,ahahahhahahahahhahahahhahahah ansakit chan hype !!!!
220,syempre pang pakitang tao pra mauto tao
141,patay patay nanakaw parin kalayaan pagiging presidente mamulat kayo
930,madaling hulaan presidente binoto pramis hahahahahahahahahahaha kennat
532,along senators villanueva ejercito gatchalian angara legarda senator recto principal author
949,hayop
1921,desperado yorme
1863,nasapawan bam aquino
2603,wow otso enedoro
2098,magandang sakyan tong issue nato popogi nxt election
1458,malakas nagkakasakit nang hihina bat malakas tandem
2364,yng turo schoo gamit sniper gamit
387,maysakit pano malakas kris ...?
2588,kita sundalo sumusunod sakanila wala papalapit babaril bbm parin wag gamitin bbm
390,mema ganurn
894,thinking pinklawan
2185,mapagpanggap hinayupak
135,kaumay lage nirerelate million tao nmn tlga sinmahilig movie hehehe
1325,tumingin kayo
358,anong koneksyon movie botante binoto bbm nanuod nanunuod sine kuntento
800,airport mnl naga mnl daraga albay daraga naga takes 4hrs mas komportable bus
2648,plastic dilaw vuvu cancer
1457,ocfemianapansin naghanap movie toni puro nasa directors club almst tiket pano makakapanood masa
2384,hanging ngaun wala clang napatunayan marcos pamilya pumatay ninoy
1127,wow nka wheel chair ngaun
840,bam nasa likuran kita kanina
2235,liar
591,buang
256,cla maghari antay cla kylan
987,lol adik
2372,mar ipalo nlng martilyo ulo
1412,wahahhahahah
2383,wala bang ganito miss tuloy
2325,wow otso enedoro
2537,admin pabor dilawan nsa coment section puro bbm suporters outch
1191,krazy angkas
2140,tagal cory pwesto hindi pinaimbistigahan tsaka parang tape
1126,mark merry christmas namamasko
607,daming pinagawa marcos pinagbebenta aquino kamag anak
946,sna mpansin nio pki check nio uniteam bataan name ofw taiwan bbm supporter
347,atty laos
2618,nagpaka aron ingnun
2012,yellow hypocritesdi maintindihan naniniwala kanilaay pink
1756,tama maharlika fund
101,dada dada tapos wala palang alam
718,nku movie yun politiko cla bnoto kiko
1744,bambam aquini taena
1689,ready love
753,love
917,blackpink ready love reaction
302,fake
460,thanks support
1916,look whos talking trillanes back talks china yun uncle ipa legalize cpp saf44 madami
817,forda post ata resibo next election
2368,yawa
163,hypocrite highest level
699,idol manghihingi pamasahi yun dami donasyon nakuha nong election buong mundo ikotin ubosin
1158,see
2125,kala butters sorry senador
1416,magiging kya 500 ksma magulang
1443,popoy
2457,natawa sinabi pakawala marcos bam aquino palpak campaign manager
1749,gagawing talk show game show pinas
1913,sana .....?
12,wow amazing
1296,tawang tawa comment kilala binoto based comment bawal shushungashunga
2133,mahalaga taumbayan nagawa adminastrasyong aquino puro paninira galit tinuturo taumbayan
2506,sht
2078,solid marcos loyalist prin kmi
2131,corrupt
1766,haha
2475,house house kayo ulit election
131,apaw apaw tao ......... sisisihin true
1889,aahh alam kuna sagot iyak
219,lol magandang pang asar boss
2151,tagal panahong ibinintang marcos akala hindi alam marunong god
416,drama arte
1629,hahahahahahahaha
84,syempre defence mechanism bro
2123,hindi pinklawan nakaupo pwesto wrong timing
550,hit point
700,nagpapansin pinklawan hay naku
2642,dilawan puzzle
38,reklamo jan sirkesyo mas malala pera pilipinas pinakeke alman
2104,kind press release work nowadays based prev works
154,nice one lods
742,nakakaalam baam aquino senador dati support esport community pinas
1768,ahahahahha triggered
59,sakitin
1550,matching
1633,pension kukunin
193,nakakapag balikan tapos pagdating pinas bus
854,party2 boss mark
961,clean good
670,aluminate real
1040,sanaol ligtas
2239,yawa
1962,sandro support trust
2109,sniper yun pla tutukan kitang kita cno pumatay
2428,sablay balita
922,hahahahahaha kaluka
1551,tama maharlika fund
1770,talidong
2571,syang tunay mahirap paniwalaan wala man nanalo
582,alanagan manood toni pinapalabas
1364,tawang tawa comment kilala binoto based comment bawal shushungashunga
294,plant seed twag lods nxt halalan
1612,pamilya cuangqo
1200,revtax mayor palang pinarada bangkay kumander parago
900,tama tgnan mukha
1160,"shock mark ,,,"
2613,lopangu
2479,first mpl tapos puro trashtalkaj agad saya niyan
1302,hello mark
1255,dol umaasa sayo charot
1177,10k nnmn
921,boss mark bbmsarah tshirt
1101,kala mark tahimik
958,blackpink ready love reaction mhie
809,nku kawawa benta pinas
2101,drama
538,panu nasusundan phil star grocery pati punta ibalita
1784,hay naku
811,pinklawan totoong gahaman
511,advocate bam esports important propagation esports scenes
1077,baby fuentes bambu oil
2022,great pretender dilawan malapit kayo maalis
1959,flush uli inidoro
1693,float
1056,sandali pagout magreact ready love
739,mahal toni nanonood sine busy work kasama 31m
1256,kol away kaaway buhay samantala kilala amores tao sinaktan
1843,epal moves
1155,2016 yun effect fpgma
527,nakaka miss senatorbam supporting games
384,ipokrita idol dati mukhang masa
2198,paganyan mapunta sakanila credit ....
1652,ahahahahha triggered
1335,nakakatakot bam aquino fansign chariz
102,tama dyan
2545,lalaking lumapit bumaril ninoy
1645,whats soj
1987,magdebate nalang sandro mas exciting yun
1473,hero john amores lampa cry babies benilde players
2390,post pics face laugh dont right post pics video come
792,binoto bbm busy work kya nka panood
676,okay basta itapat baril
1184,kuya reaction video ready love
658,tama mpabyaan aaral
74,nanay lenlen tell marines
1014,mabubuang jud pinas ganyan
2285,prrd pretensious leader hindi naniniwala ganyan ganyan laging media nakabuntot
1797,nakakatakot bam aquino fansign chariz
2333,admin pabor dilawan nsa coment section puro bbm suporters outch
1118,cla makapag move
2213,kunware
266,tama lutang tlaga cla
15,present
1577,pangit lbms google greatest thief world
2327,create jobs
1739,ibigsabihin hindi kilala oldies
2014,atty mang
1560,musta mark
233,tama taong tapat mapagkakatiwalaan
1529,early
1438,boss tanong sayo proud kaba soj
584,papalakas ulit kabaataan bka mabilog ulit
304,xmpre pkita tao
526,basic manila baguio 6hrs nku lugaw wala maloloko nlng
681,youre right
2511,nagpapatay ninoy kadugo
971,bambam natagpuang nanilbihan gobyerno
496,publicity tawag dyn hehe
284,alam pinagdadaanan tao tayong kakamali wag manghusga
2586,okie lets thing victims mendiola masacre shall
2495,nagbabago apo bam aquino hindi sitwasyon smooth know also phils facing crisis
2318,posonegro dretso nyan
1202,bert tawa marcelo
2063,sus 2017 nilagdaan law 10931 originally proposed former senator bongbong marcos last 2015 credit grabber
1760,ready love
1322,saang mall
2312,alam pirmado agad
2647,corrupt
2071,politikong panay photo ops
264,dreaming
2566,bad timing nasa pwesto peru nasa pwesto wla namang
1029,kala butters
2353,boy pagpag
2245,become nagbubus province manila natigil
841,kampon tlaga unang naniniwala knya lutang
1501,omg embarassing shet
2056,mas makakapahinga bus masmalaki matitipid bus pauwi bicol
1506,tanong mahal bilihan ngayo inport ibang bansa sibuyas kinawawa magsasaka pls pakisagot
16,guanzon wag paniwalaan ksi ulyanin
289,pinklawan atat atat 20kilo bigas mas patay gutom yata compare
309,main boss
1662,musta mark
174,pnoy wala namang pandemya naisip linisin manila bay
17,stock prices low atm therefore best time invest
335,try tumakbo bicol manila
1676,potek walastik
1004,hahahha
2250,salamat pangalan iboto
774,hayaan pahirapan susunod maglakad nalang
1848,madaming nakinabang pera kya pinag kaisahan marcos kht abugado media bayad gnya kadumi batas pinas kasabwat kano dyan
1610,speech
682,thanks always supporting esports industry bam
856,gising gising panlilinlang dilawan
1131,hahahahahahhahaha
2319,mar marunong humawak nang martilyo
119,.....
22,lol
1885,become nagbubus province manila natigil
1840,dhil ngang great macoy kya dhil pmarcos nman gagawa ngyung mging great pilipinas
2658,asa lugaw
382,halaa grabeha gyud
2611,plastics
1684,speech
802,finally kaso gma remembered malungkot gma
722,hinde nagtatanong ngungotya binibigyan nangmasamang kahuligan totoo
2699,bogok
1385,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
1811,natatawa traffic enforshit roxas nalala
1205,2016 yun effect fpgma
650,congresswoman atty leni sumasakay bus tagal nyan
1453,kwento
418,pesos negosyo aquino
1223,hahahahahaha
2142,answer artista
2162,adik
108,nanay lenlen pla masisiraan ulo tuluyan hay kasunod issue lods
1050,nagtweet former senator bam aquino issue
370,maniwala
909,float
246,ewan dyn ndi nmn toni binoto 31m pbbm binoto nmin ndi toni
1651,hahahahahha yowo
1153,yes ibang .... bodol
301,well said kakagising idol
2407,lugaw utak
1212,please subscribe lenis youtube channel thank
2044,bangkay wala noynoy wala ding bangkay
2329,bam aquino failed tremendously
1361,new hair madam intro
1593,great president philippines
1574,hahahahahahahahahahhaahahahaahahaaha
1264,hello idol
1807,politikong panay photo ops
103,totoo
1446,mima
449,panay abroad tapus sariling sasakyan niluluko nitong leni trip
2254,aquino sinungaling kinakarma
502,ksp kse
2357,tutukang binaril talos sniper
1424,wah bad hacienda luisita massacre
1838,fake mas alam pamilya tax issue
1346,kuya rence wala reaction vid mood sampler girls generation
159,tnt kayo dyan matulog tulay
2069,hypocrite
1032,manny pacman president
603,wag kmi simply buhay bike
2300,bobo bam
1735,hyttss
2324,magaral hindi nabubudol masasamang nilalang
2332,nanood bam pano lampasuhin nxpe
1854,nang mgcollege pnganay mgksama mliit apartment asawa ank kht binibgyan cla pnsmantalang bahay pnoy dat tym ayaw jessie
1894,karpentero
337,fave team
236,canned goods sana mapili pang baon
250,god bless bam
730,kumukuha kapal panga bam tibay bagay knya lodz
986,tawagin carpio
222,tinatanong live kakampink ngaun napuntanaipatayo 3trillion pera taong bayan dba
982,ganda kanta bagay bagay
990,bombelya
1189,popoy
765,joke napadaan cla jan tpos picture sbay post tpos alis agd kng bus dami picture kumakalat
2550,pass
1912,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
1650,sandali pagout magreact ready love
1778,nanay cristy
1097,hero john amores lampa cry babies benilde players
1351,nanay cristy
1548,indi hinatid
1491,senador bambam
53,afford paaralin abroad anak peru bumili sariling sasakyan nagtataka
2676,ipinapakita safe magtravel pinas prrd pbbm
1563,hahahahahaha
2621,1ksp
1338,dol umaasa sayo charot
366,hindi batas militar nsa pagbbgo
1280,talidong
1444,san reaction vid ready love
354,thanks bam good job
1115,haahahhahahahahahahahhahahahahahahahahaha ruel
1701,reaction blackpini ready love
1669,kol away kaaway buhay samantala kilala amores tao sinaktan
2154,marites
2172,jan tau nagkamali edsa edsa lubog polopimas
486,nice
1020,please subscribe lenis youtube channel thank
350,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
2499,efficient always
9,never mind boss nagpapapansin nlaang hehehe
1013,twin brother aquino
328,pinklawan atat atatsila
1732,new hair madam intro
2375,pano magkaka surplus national debt natin 511 trillion noong pinoy san kukuha surplus fund
29,hehehe tama hindi yata pilipino
1057,hahahahahaha kaluka
70,hindi mabibilog utak tao hindi salita basihan du30 malkas
47,owner bus
1846,election haha
1602,alam mass offering churches ..... yun alam nameng assembly
1271,waiting magpunta mark tuan mapagkamalan mark villar tahimik rin yun
430,pinagsasabi pinklawan pinklawsn yellow tards mana mananslo
1525,twin brother aquino
1530,rence pareact kayyo ready love blackpink pubg
1270,bambam baembaem
2092,wala ata pampa sweldo yankaya gawa
1474,akala aquino bambam1a
564,yess !!!
1526,remulla malakas
850,ngpapapansin akala cguro nla mkukuha nla mloloko nla tao sorry laos style basang basa kau
1877,tsismoso
695,alcohol cologne quickpanalowithbam gonegosyo quickpanalowithgonegosyo
1141,walastik troll moments hahahahahahaha
2405,big
1665,san reaction vid ready love
952,merry christmas mark keep safe always god bless family
1490,round round
257,pakitang tao boss
602,real dreamer hell 6salutenjoma
597,parang naag iisip rin magnanakaw marcos inisip thanks god pbbm pres
2664,hindi pension gagamitin sobrang budget hay naku
1508,met joma kid know joma gave fruit
1947,push paniniwala
512,masyang masaya
751,count
2514,basta
1505,2016 yun effect fpgma
2096,nagkatotoo omg
1833,akala mananalo mar dati binalak
767,nice one idol
1405,nagtweet former senator bam aquino issue
295,yes nakataas kamay
1071,hello mark
2010,san kukunin fund aquino gsis etc sana masagaot
221,mabuti natauhan kayo hindi naku buhay tau aalipin komunista
666,alcohol cologne nawa palaring manalo
1628,bambam aquino realquick
1025,typical apolo10 moments
643,tapos presidenteq
351,tama kayu
1729,aliw basa basa muna
185,tapos kalagitnaan highway pumara makakakita gitna hiway pumara hindi terminal
1378,10k nnmn
1839,wala kna bam
158,yes tama hnd isugal pera taong bayan iyan kinabukasan pensioner tumanda nalugi garapalan
1276,gita
824,erap namam bat bus jusko punta bicol rerent sasakyan komportable byahe
472,lights camera action nanay len pabili orocan
206,simpatya malapit eleksyon alam
1201,matching
2681,pang yayari nyan puro marcos sisi hoy gicing tao babawe kme apo lakay solid bbm
2548,loob eroplano binaril totoo mayroong naka tutok ninoy marcos bintangan god knows
2605,feeling relevant ampota
1277,hahahahhahahahqahhahahahhah
1154,commander chief alam
2463,buhay lolo lola cuneta nuon ganun sayang kakie dna naabutan ata yun
948,mendiola video
2292,dont worry lods abo noynoy hasik lagim
1128,hello garci yuta
1576,hero john amores lampa cry babies benilde players
2334,election kasinungalinan
905,pati jesus galit soc villegas
1974,keyword pampam
8,maawa 31m enough dramahan
2252,bagay ganyang trabaho ganyang nlng trabaho naka tulong
1142,hero john amores lampa cry babies benilde players
286,hayaan nalang leni bkit pinupuna
213,rest hell joma
51,buti pansine kuda kuda presyo sibuyas kayo talagang millions patawa
240,taga mars
1418,hahahahahahaha
1183,boss mark bbmsarah tshirt
55,bam aquino
80,korek
855,uso balimbing nman .........
1161,omg embarassing shet
2445,makapiling tatay masi kriminal naka kulong
2467,kase iniiyak kase pension kukunin
660,hay naku photo purpose ....
863,legit 102percent
479,makatayo kris tatakbo tama magpagaling nalang sakit
1597,naku ???
731,feeling bayani nananaginip
760,god good
2143,dilawan parin
1782,shuta ahahahahahahahahahahaha
132,gun utot joma mark
456,wag patulan bro bihay clang bitter makkmove
788,ibang bansa bongga nsa pinas paawa palagi
2187,sayang tlaga nabudol
1400,duterte nakaupo lalabas anak bonjing
1469,ood umaga mark
807,dilawan hindi rin maka move
2302,kanta muna guys tanim bro pukpok nakayuko magpintura makatayo maghalo nalang hapon
1754,pdaf legal
2507,basahin ayan sinabe sandro marcos
1613,hahahahahahahaha
1979,pinanuod blck tnc hahahaahhaha
268,wala hulog sagot laging nililiko sagot tanong
849,papansin lenlen
1404,great president philippines
2086,hunyang9
506,bbm sara
656,tanga maninila jan nanay lenlen sana buss
2263,maniniwala dugo iniiyak
2606,post pics face laugh dont right post pics video come
1402,buhay ahm
2442,1983 2022 .... issue rin hanggat tumatakbo marcos wala kasawa sawa dilawan gantong kwento nakarma
2146,meron naka encounter tyo lawyer lutang
822,panay reklamo mahal sibuyas afford nmn pla gawing bouquet
1791,sandali pagout magreact ready love
864,taas dalawang kamay
1705,rence pareact kayyo ready love blackpink pubg
2508,nagpapatay ninoy kadugo
1837,controlado media kalat nang kasinungalingan
647,time bam maganda ekonomiya rin tinuloy dami palang tinuloy
1549,ahahahhahahahahhahahahhahahah ansakit chan hype !!!!
736,naku promo pra 2028 election
128,lodz tama
1546,kalabanin dilawan kim jong
2686,tama accla
1816,marcos kmi sbhin
663,diko parin alam natalo bam diokno higit mas magaling nanalong senador
1116,sanaol ligtas
2378,masipag malapit eleksiyon 2022
2515,answer corrupt cap
1827,hindi napukpok kamay mar roxas
561,solid tlga esports
517,marcos wealth fund yata priority
1504,beb beyonce fan renaissance !!!
1423,gadon
1922,nagpalit kulay dilaw laht kasama kamera
1391,niere look
1432,gadon
2321,gawain taong mapagpanggap
505,kuha sympathy lol
621,pinklawan legacy puro kontra
14,indelible ink dpat finger point kanan kamay tama correct wrong salamat
