,features_string_format
1189,bayani gaya boss binabaril luneta bayani diba pin
401,wow nice lods
1099,repair sakalam
1120,bayani gaya boss binabaril luneta bayani diba pin
492,kyang gawin
1010,answer bobo
576,tama bam iisipin situation
487,dilawantama nohh
1059,pakitangtao
893,luh
305,dota days noob kuku alam natin bam nasupporta esports bam
1075,ayaw full disclosure bill mas maharlika fund confidential fund
355,hindi kaylan tsaka matalino tao andali paalisin pwesto papalpak sure gugustuhin pbbm fail
216,kuya bam salamat pagsuporta gaming community
197,tama bam aquino pera miyembro
121,bbm sakalam maharlika
836,basta malapit saba malapit eleksyon pakitang tao mulat tao ngaun
812,paganyan mapunta sakanila credit ....
979,pakawala bbm bam aquino loob partido leni anay pugad anay leni queen anay
880,bobo agad naisip atty gadon nagsabi ahha
256,dyan susuportahan kita
1176,authored bat ibigay credit researcher lawyer nagsunog kilay pera ambag gosh tas ibribriefing andun
938,naniniwla naniniwla jan anu
0,maybe hes fan sport need negative comments people
910,feeling artista galing arte
453,gamer yqn
817,nagpaka aron ingnun
1040,election kase hahha
837,inodoro ikinabagsak
505,nimal
495,kampanya
139,bam thanks support hindi community pti esports general sayang hindi kita rev major 2022
638,team bam
251,wonderful xmas
940,liar
1017,panggap
663,answer pesos negosyo
368,jan napa follow
706,answer trying hard obsess
692,atty gadon knows answer
435,hindi sandro nagpanuakala 1st lady lisa araneta marcos
735,kunware
560,rank niyo bam
616,2nd
703,pong team niyo
984,aga nangangampanya grind
708,clue
813,sana masipag yawa
1143,trying hard copy cat
606,aahh alam kuna sagot iyak
776,kanta muna guys tanim bro pukpok nakayuko magpintura makatayo maghalo nalang hapon
451,manny pacman president
380,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
316,thankyouu supporting mlbb community
998,lezgo bam sakanal
914,yellow hypocritesdi maintindihan naniniwala kanilaay pink
38,authored free edu ryt dinedma pnoy thanks contribution thanks prrd making reality
612,anu bam asporing president aquino clan
501,bam pong team sinusuportahan niyo
496,tama tukayo
215,fan senator bam thank supporting community
699,fave team
198,nice gamer
498,rip nalang
700,senator rank
924,trying hard copy cat
1105,anti poor
751,pabuhat lods bam tank user
1131,malapit eleksiyon
667,halata paghawak plang martilyo
974,mas kalbo aalalay dinidik dik kpwa senador
1182,mapagpanggap
681,hindi kya unlarin bansa ntin
777,ganyan pagn election
370,fan senator bam thank supporting community
898,napaghhalata tlga jusko bam
72,galing bam aquino
605,meron tlaga negatron
659,solo !!!
1052,bamby fuentes bamby oil
1000,relo nakasira karpentero
137,senador patuloy sana tulong supporta gaming
727,project ata
1101,pano magrush bills involved pera
336,former bam aquino naghehelp man esport players natin makasecure visa compete internationally
826,mapagoanggap
990,mapag panggap sagot
634,meeting tagal
176,pinakamalaking ambag esport scene pinas alam thank bam
619,nge
468,bwahahaha grabe labas litid bam aquino kasisigaw !!!!!!!!
396,ngayun tamang timing crisis mababa presyo financial market
629,panu ipapasa kaalyado dati kasama pansinin kaalyado gagawa nang batas hirap mapasa
1164,jowk hajaja
1109,b0b0
788,minahal asan cla ngaun
473,kadaya pinanood blck char isama next watch
478,nagcoconstruction tas nakadamit pangpasyal tas nakagloves
447,6years need maka bawi
499,awit pinanood blacklist tnc
1063,wala pong surplus gobyerno noong pinoy 511 trillion utang gobyerno
672,nangyari kawawa member gsis kmi nmn budol
879,debate bam sandro please want witness sandro stutter like father
259,nice bam
1132,yes ibang .... bodol
148,thank bam !!!!
1173,hindi mananalo bumoto wag nilulumot kaka panira
425,along senators villanueva ejercito gatchalian angara legarda senator recto principal author
534,kuya dami magagalit sayo nyan gwapo kapa heheheh
30,supporting esports bam
801,photoshoot
939,aasahan pinklawan edi komontra komontra natalo
1122,mpagpanggap
509,answer pesos
802,plastics
602,yawa
1072,hunyango
52,thank bam making possible esports players
219,maka man hanga tlaga support niyo esports bam
811,pakitang tao wag iboto
467,answer gadon
690,mura yong sibuyas yong sayote
356,dota days palang susupport esports pinas
43,sipag
848,way
293,bam great job organized ignites volunteerism heart rich poor filipinos mock cant deny
805,sana mkapasok dilawan 2022
636,bam tara duo
263,thank aquino
675,gapalakas gamers
696,malapit election hahaha
64,mabuhay bam !!!!
739,sagot pesos naway manalo pambili maintenance
367,nice
1166,nabubulok
163,additional info senator bam pinakadahilan wala tayong binabayaran tuition college sana maka nood mpl live huhu
392,ninoy hero true filipino love country much sacrificed life like rizal martyrdom
385,bam esports !!!!!!
14,fan senator bam thank supporting community
87,supporting esports bam
157,nice gamer
1051,greatpretender
822,topperware kyo dyan
331,thank bam making possible esports players
540,nagkatotoo omg
441,answer vegan
870,great pretender
953,answerbobo dilawan lugaw
175,dhil ngang great macoy kya dhil pmarcos nman gagawa ngyung mging great pilipinas
104,bam maraming salamat supporta liga esports mabuhay kayo padayon
57,happy
1183,rin sorry
80,timing bam tama
590,unexpected
286,thanks always supporting esports industry bam
929,never
1041,salot
778,gita
494,plastic tuwing kampanyahan makikita gaganyan
752,pesos takoyaki life
676,alam kun kayo pumupinta ospital pinagawa macoy samantalang pinagawa cory rebulto inubos laht asset pilipinas
440,plano palang ganyan bam ???
1110,pakitang tao tumagal buwan
1100,tama tama aquino pabag sak pinas maganda mawala abg dilawan pati pinklawan malad pinas
178,tama
211,fan political journey thank supporting community
858,repair sakalam
324,solid tlga esports
261,bam kayo nalang magpaganda tournament stage mpl hahahahaha
460,pano magkaka surplus national debt natin 511 trillion noong pinoy san kukuha surplus fund
96,idol shout nman bsta pbbm sakalam
292,thanks
409,mapabagsak pinas
436,ayan
936,wla kakmpi bam death lhat lalo manalo
1127,basura
117,bam .... galing mlbb fan
315,jan napa follow
480,magmeeting hoy inconsistent script sinasabi anti need natin meeting halatang alam kosa naten
422,matanggap ilang dekada taung napaikot ganyan
671,toilet
488,rastaman
596,artista nlang kayo
335,bbm sakalam maharlika
511,pension kukunin
437,kaano aquino
644,mam miss meeting
767,yellowish
1035,plastic ...... pakitang tao .....
106,jusko bam nasa timing nasa bear market global market naka discount
274,thank supporting mpl thank pinatalo leni
542,pesos love kind food
266,happy
26,senator supported esports since dota2 days
1077,pano magrush bills involved pera
24,best actor
1003,natatawa tatlong wala bang
234,mabuhay bam !!!!
656,wag idamay gsis
1060,kita love pinanauod blacklist
204,right timing pbbm president maraming investor nagtitiwala knya dala pbbm lakas knyang ama fpfm
16,tama bam aquino pera miyembro
965,paganyan mapunta sakanila credit ....
31,nice nice
1001,bidabida
930,best magdebate tignan natin sense
658,election 2022
556,politikong panay photo ops
600,timing swf yes yes means yes yes youll takes
479,sana maka laro kita trashtalk kita
257,salamat bam aquino batas nagsisigurong malilimutan maiiwan pagabot pangarap kabataang pilipino makapagtapos
416,realtalk
604,pdaf legal
749,mom
233,thanks aquino
919,sure aalma hinayupak pulangaw buti sana pulangaw retirees makukuhanan pera maharlika fund
841,epal
180,since dota days bam thanks always supporting esports philippines
1147,answer plastik
993,pacute leni
65,nice gamer
950,mapanalo
920,feeling artista galing arte
976,mapagkunwari
418,220 pampanga rally sagot nmn pampanga police70
952,manloloko
661,sesh
907,nonsense
182,bam .... galing mlbb fan
625,tama dyan lodz
734,answer canned goods
18,dyusko gwapo bam aquino
1024,sip sip
577,pls support mobile legend way support esports pls
1124,kaputanginahan
1081,gawain taong mapagpanggap
916,bobo bbm president
82,pogi magmura
262,tama lods bsta cla
528,kapatid kuyan
835,bobo bam
491,sovereign wealth fund done lot countries uae china etc stop acting like original idea someone
1036,paki alam contribution gsis
1150,aquino
310,always supporting esports thanks bam
1092,bypocrites
771,san kukunin fund aquino gsis etc sana masagaot
108,wow
991,wag magpanggap bbm parin
424,weh
697,acting tama
150,idol tong bam ata sumusuporta esports scene
712,pasikat
901,rin sorry
973,kaylan oknapaka bitter iyak nlang matagal2 mka pasok
98,dota days noob kuku alam natin bam nasupporta esports bam
247,magaral hindi nabubudol masasamang nilalang
561,election coming
1065,inodoro ikinabagsak
506,saya sana
609,esses
1170,balik endoro
559,nagpalit kulay dilaw laht kasama kamera
444,reklamo jan sirkesyo mas malala pera pilipinas pinakeke alman
876,corrupt
144,dyusko gwapo bam aquino
821,magaling tlaga dilawan mambwisit
553,dkn mananalo ulit .... congress stage pede baguhin source funding
721,pesos
446,answer pesos love takoyaki much
775,canned goods sana mapili pang baon
774,salceda rep gsis twg
1016,answer corrupt
1119,pictorial
90,looking young handsome bam aquino
37,senador patuloy sana tulong supporta gaming
584,pesos manifesting win
167,bam maraming salamat supporta liga esports mabuhay kayo padayon
165,tama lods bsta cla
268,thank bam
714,asan 10k
1133,going president named leni lugs rrberdo precisely everh going vice president named kikoungoy
713,answer pesos sagot hoping win
222,dyusko gwapo bam aquino
1009,bidabida
212,best tlga bam naka supportive esports team player lalo international game
1066,yong ibang vlogger confirmed pension post agad kya natural react kaming pensioner
1172,dilawan tactics since 1965
896,fake !!!!
978,scam
948,pakitang tao malapit yubg election
411,guys hindi nanan konsintidor bata sana nakaka vote use vote wisely
120,pogi magmura
349,bam esports !!!!!!
711,build build build
124,thanks always supporting esports industry bam
720,tapos prrd pumirma hnd pinirmahan pinsan antagal kasama iisang administrasyon budget
850,iiyak pinklawan nyan lods real talk
768,answer pesos sana mapili pandagdag need nang babys
825,maharlika wealth fund
518,peso
461,bee seat
284,even fan aquino thanks supporting esports since dota2 makakuha visa pinoy team
741,diba cong sandro cong romualdez nagprincipal author house bill 6398 mapanlinlang maam ces
450,pati building paligid tao pati kuryente poste
279,enrolment hirap dati magtapos kolehiyo daming babayaran maswerte kabataan libre kolehiyo
1142,tama ayaw umunlad pinas
188,senator supported esports since dota2 days
295,thank support ing community god bless
112,dota days noob kuku alam natin bam nasupporta esports bam
662,ganda
1031,epokrito
522,naka gwantes safety
565,bam nakalusot
141,kuya bam salamat pagsuporta gaming community
557,last game kaba boss
280,dyan susuportahan kita
908,pkitang tao
1114,epokrito
943,ali paghawak martilyo
566,reliable source gsis hindi sinusino nagsasabi pension contribution natin gagamitin
1067,bam matinding halimbawa tunay dimonyo
1083,mas kalbo aalalay dinidik dik kpwa senador
1167,tuta
229,thank bam
698,cosplayer ninoy
389,looking young handsome bam aquino
878,sana tutulan maharlika fund maganda objective source funds kawawa kaming gsis pagibig umaasa
983,oto2 hindi marunong panday
684,omg
388,matagal nang solid supporter bam aquino esports community
308,angas
126,bigyan bonos yarn
481,!!!!
726,tumakbo politics trabaho
237,thank send bam dota esports wwlang kupas supports
27,supporter
29,salamat napakagandang video
764,ulit kayu wag
585,skill
116,advocate bam esports important propagation esports scenes
874,bobo hehehe
340,gamer bam malakas sumuporta esports
83,better source frm various funds safeguard stronger
1070,asus ngsalita
248,support bbm
323,maganda nang marcos hintay umpisa palang mas lalo kang maingit tapos hintay wag magmadali
462,photogenic
382,bigyan bonos yarn
375,thanks aquino
594,exciting part
381,fan thank supporting community
1112,disparate
377,astig bam
474,rest pink
110,slamat bam
47,bbm sakalam
227,ngayun tamang timing crisis mababa presyo financial market
668,pesos facebook account
828,adik
232,thanks bam good job
329,astig bam
412,double time malapit pasko aabangan ikakampanya money money money pera pera pera
406,tong mamatay tatay digong bumagsak tuloy bam mukhng tagilid balingo maglakad
877,wow nka wheel chair ngaun
448,grabe tlg reklamo agad man isipin muna haist
831,b0b0
732,pesos love takoyaki super fan masarap sulit
1015,bam aquino strikes hakdog
489,meron jan kumain baso uminom plato
833,pakitang tao malapit yubg election
786,lam bambi member lgbt hayaan hindi alam dasal kaluluwa namatay
545,reflect tuloy boto magic hahhaa hangin
189,hindi kaylan tsaka matalino tao andali paalisin pwesto papalpak sure gugustuhin pbbm fail
915,nope
421,pesos takoyaki layf
134,alam kala paepal since dota days nagsusupport bam
129,galing tunay followers esports followers thanks bam
210,additional info senator bam pinakadahilan wala tayong binabayaran tuition college sana maka nood mpl live huhu
123,respect
1130,bobo
164,maybe hes fan sport need negative comments people
899,sip2
1022,nagpaka aron ingnun
579,man kayo bamaquino
651,sanaol ligtas
359,ninoy hero true filipino love country much sacrificed life like rizal martyrdom
934,bamby fuentes bamby oil
544,mar roxas ganyan humawak martilyo
81,salamat bam aquino bait pagpalain kyo lgi diyos
1029,payaso bam
1026,relo nakasira karpentero
1165,konek netong aquino esports
737,answerelection
337,lets senator bam
238,thanks bam supporting filipino players
271,idol shout nman bsta pbbm sakalam
486,house house kayo ulit election
434,vegan gonegosyo aasenso
1128,repair sakalam
642,fav team
890,marcos kmi sbhin
628,election correct wrong
239,thanks
738,pta officers
1045,bagay ganyang trabaho ganyang nlng trabaho naka tulong
200,ngayun tamang timing crisis mababa presyo financial market
746,particular team kayong sinusuportahan
963,naku kaduda duda magpaplano nyan
926,disparate
842,ayy corrupt npa
32,galing tunay followers esports followers thanks bam
1115,kaplasrikan !!!
44,thanks bam good job
86,thank free tuition every university nakaipon magulang pangpagawa maliit bahay probinsya
142,nice nice
1079,answer tanga
378,bam fight ipag manindidigan gayahin nonoy
1096,papansin
766,maui rec create
921,basta malapit saba malapit eleksyon pakitang tao mulat tao ngaun
350,bbm risk taker salute president mabuhay
1020,answer bobo
76,tama kau
954,mapagpanggap 101 makasarili 101
1144,never
1161,wala pong surplus gobyerno noong pinoy 511 trillion utang gobyerno
472,nagpapicture
707,olats
312,thank sports advocate bam
871,fake news carried haters kakampinks spread fools kakampinks accepted idiot kakampinks
111,salamat suporta esports bam start gamers
243,bam .... galing mlbb fan
1177,corrupt tamaba
196,love kayo
555,akala nla maano tao maraming pupunta dun
573,resibo pasweldo buwis mamamayan .... interesado dds trolls dyan quota
199,best tlga bam naka supportive esports team player lalo international game
1185,mapagkunwari
77,dyan susuportahan kita
582,atty gadon pasok
722,katropa sasabihin
913,mapag panggap sagot
92,thankyou giving attention esports world
773,twing election
1129,rin sorry
595,election
900,tumatahol pulangaw
816,npa enabler okay kaso npa tlaga
956,sorry
63,bbm parin
1095,yes tama hnd isugal pera taong bayan iyan kinabukasan pensioner tumanda nalugi garapalan
892,bangkarote central bank marcos magtiwala magnanakaw
58,diko parin alam natalo bam diokno higit mas magaling nanalong senador
285,mas mas magaling hihintay 2022 dun nalang pipili
760,natatawa traffic enforshit roxas nalala
591,magandang sakyan tong issue nato popogi nxt election
454,never charot
278,support bbm
429,bam hollow blocks tapos
270,pogi bam aquino
183,bigyan bonos yarn
718,haduken
869,pacute leni
191,nice gamer
1073,sobrang dami wala silbi magagandang batas natatabunan taeng batas
743,bam nasa likuran kita kanina
1034,great pretender
209,bbm sakalam maharlika
1155,nope
791,wala bang ganito miss tuloy
792,nnmn uusapan next live
1168,great pretender lol
224,bam .... galing mlbb fan
366,kame maloloko kidding aside alam since 2016 tumutulong bam esports nakakaalam
1028,dont know laws corruption
403,malakas kaba
185,far know bam natulong problema visa pinoy players international esports
889,answeracting nasa shooting taong nasa litrato
296,wow
402,mali magpasa
631,cla maghari antay cla kylan
578,cosplayer
624,ngaun wala paren kaung kadala dala
923,mar hindi marunong humawak martilyo
12,solid tlga esports
1140,akala mananalo mar dati binalak
400,ewan nalang
1091,lezgo bam sakanal
688,best ninoy cosplayer
430,main boss
635,answer pesos sarap takoyaki
685,sama niyo next time beke nemen
947,basta malapit saba malapit eleksyon pakitang tao mulat tao ngaun
931,alam kng anu dilawan pink pangampanya laang
867,abnonoy
181,senator supported esports since dota2 days
977,nko halatang sanay ganyang trabaho kumita nayan
695,vegan negosyo
530,basahin ayan sinabe sandro marcos
520,itlog pula ???
894,diretcho inidoro bbm solid kmi
1154,hindi pinklawan nakaupo pwesto wrong timing
742,pagpag kain muna hehehe
969,answer corrupt
515,bam rank game
1087,kinginang marimar halatang photo ops sana inayos man hand placement martilyo
814,negative campaign nangyari
1048,pakitang tao
599,kurty crab
333,since dota days bam thanks always supporting esports philippines
849,hindi mananalo bumoto wag nilulumot kaka panira
395,tama
539,dami pera bambino
687,sana time mapili
201,thank bam !!!!
1107,answer plastic artista kase eleksyon ganyan
603,bam
524,gadon sakalam
673,malayo kampanya
1186,bobo answer
794,blck game bam
852,mar hindi marunong humawak martilyo
84,nakakaalam baam aquino senador dati support esport community pinas
1138,kinarma pumangatlo hukay
827,imburnal
36,ppl hate bec hes aquino ppl know esports community thank much
10,magaral hindi nabubudol masasamang nilalang
927,pakitang tao buhay manloloko
654,bam bida dyan bam title
937,hindi pinklawan nakaupo pwesto wrong timing
655,need action education background state man kuno
861,desperate
60,nice gamer
649,palitan
860,mar ipalo nlng martilyo ulo
166,tama lods bsta cla
202,senator bam lets !!!!
807,ans bobo
67,god bless bam
272,timing bam tama
358,thankyouu supporting mlbb community
683,bam nuod kayo blacklist game mas crowd
902,topperware kyo dyan
170,idol pengeng skin
517,kita matagumpay bam aquino alam natin
832,great pretender dilawan malapit kayo maalis
1145,sorry atty lary gadon papalit sau
1190,fake news carried haters kakampinks spread fools kakampinks accepted idiot kakampinks
569,kmukha bam
846,pretending
1134,dilawan kayo ate
301,mabuhay bam !!!!
177,happy
287,thanks always supporting esports industry bam
68,nice
1125,kaylan oknapaka bitter iyak nlang matagal2 mka pasok
228,masisispag
25,dota teams palang suportado senator bam aquino player basta esports malapit
823,tuta
1037,sobrang dami wala silbi magagandang batas natatabunan taeng batas
245,salamat bam aquino batas nagsisigurong malilimutan maiiwan pagabot pangarap kabataang pilipino makapagtapos
789,kumukuha kapal panga bam tibay bagay knya lodz
231,ppl hate bec hes aquino ppl know esports community thank much
944,fakers
526,tatakbo next election supporta kabataan gamer madami voters next election
1008,election kase hahha
417,wow player bam
94,gamer bam malakas sumuporta esports
419,kilebama
445,kinamatay late pres noynoy covid
459,pass
918,nonsense
217,sandro support trust
240,thank send bam dota esports wwlang kupas supports
549,artista
147,god bless bam
731,sayang naabutan noynoy pagkapresidente bbm
373,angas
4,senator supported esports since dota2 days
665,wawa kayo makalugaw kayo sali bbm prd tandem 2022 peace
383,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
1057,ituloy yubg maharlika pondohan gamit estate tax illgotten wealth tallano gold marcos
153,thank supporting mpl thank pinatalo leni
562,pink
558,cartoons
1012,bad timing nasa pwesto peru nasa pwesto wla namang
161,bam .... galing mlbb fan
574,lugaw
302,tama taong tapat mapagkakatiwalaan
35,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
1004,words pakitang tao
503,vegan quickpanalowithbam
799,laborer
905,nabubulok
1136,corruption pakitang tao dilawan
552,oobra drama bam
1038,maharlika wealth fund
883,tama ayaw umunlad pinas
258,thanks
5,bam kaisa senador sumusuporta esports dota2 days naka support
386,best actor
352,since day esports advocate bam
328,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
903,maharlika wealth fund
843,masipag malapit eleksiyon 2022
504,pinanuod blck tnc hahahaahhaha
863,nmn gawa mana tyuhin
754,magbigay trade mark aquino nagawa
886,pera pasado agad batas 50yrs mapasa
868,ipokrito
282,kame maloloko kidding aside alam since 2016 tumutulong bam esports nakakaalam
40,always supporting esports thanks bam
152,thank bam
379,dyan susuportahan kita
132,matagal nang solid supporter bam aquino esports community
1094,pkitang tao
483,dilawan
19,idol shout nman bsta pbbm sakalam
782,pesos frank mendoza perfect pang meryenda takoyako swak pang negosyo
1148,yup version bam national budget kukunin hindi pensioner gaya
1116,natawa
41,bigyan bonos yarn
119,nakaka miss senatorbam supporting games
186,dyusko gwapo bam aquino
1025,kinarma pumangatlo hukay
960,thank ambag tama
346,thank bam making possible esports players
193,nice
314,bam tara rank pinaka lodi senator
1198,great pretender
273,sana presidente pbbm ngyon nalaman totoo
431,playing mobile legends bam
997,bolero tuwing eleksyon
313,always supporting esports thanks bam
415,gadon
1121,bad timing nasa pwesto peru nasa pwesto wla namang
622,daming botante jan
353,thankyouu supporting mlbb community
235,bam .... galing mlbb fan
413,pesos negosyo
465,hangag
2,sana bigger venue finals took minds stress lalo ksagsagan pandemic
1049,answer plastic
1178,baby fuentes bambu oil
97,thank bam
1093,basura
715,surplus pano nalugi
118,bbm sakalam maharlika
694,compliance
1,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
288,fan thank supporting community
572,minions
955,mndaraya tlga kwatan
567,maharlika investment indi wealth
570,kase iniiyak kase pension kukunin
623,hawak plang martilyo alam agad
621,ayaw sana comment kaso nakakasawa makakita ganyang politiko maryik kininana
1187,answer bobo
804,alam kng anu dilawan pink pangampanya laang
369,cool
253,salamat suporta esports bam start gamers
968,actors mean plastic actors
88,thankyou giving attention esports world
1058,pakikipagkitangtao
1188,ordinaryong mang gagawa seriously
541,kala butters
15,better source frm various funds safeguard stronger
972,answer pakitang tao
78,solid tlga esports
701,ginawan hero shhees autopick tlg sakin
398,thank aquino
408,answer solid waste
513,answer artista
601,1v1 bam
79,better source frm various funds safeguard stronger
1089,mapag panggap
42,tama lods bsta cla
34,senator bam lets !!!!
620,10k nnmn
307,tiktokerist
91,slamat bam
192,stayed blacklist tnc game mas wild tao supporting esports scene
586,cancer
103,wow bagets datingan
854,dilawan pink never wal kayong mabubudol
427,tres flower
1069,election kasinungalinan
354,pogi magmura
571,duterte free tuition patawa
1158,maniniwala dugo iniiyak
1074,ayaw mali pangulo hirap
995,best magdebate tignan natin sense
322,thank bam !!!!
740,rin kamag anak presidente
341,senador patuloy sana tulong supporta gaming
1151,dilawan pink never wal kayong mabubudol
909,bam aquino failed tremendously
575,omg senator bam ggwp
583,forst
22,wow supporting sports thank
770,hello garci yuta
772,canned goods negosyo
1033,answer pakitang tao
780,1v1 boss
275,sandro support trust
345,senador patuloy sana tulong supporta gaming
8,bam pupush esports salute sayo
680,fitflop
452,1word ??? sagot
615,nagbabago apo bam aquino hindi sitwasyon smooth know also phils facing crisis
639,dumeretso inidoro sure dederetso nanaman inidoro
729,forda paramdam ferson
51,strategy magaling
790,galit kakampinks bam aquino galing idea
61,magaral hindi nabubudol masasamang nilalang
160,angas
709,answer bbm2022
932,mababa utang nonoy langg
630,cap
1184,answer plastic
1056,sana masipag yawa
980,rin sorry
543,31m fund tutal unity
1126,leni lugaw
674,photography
250,salamat sayo bam aquino
321,bbm risk taker salute president mabuhay
548,treding twitter scripts captions
550,kailan ordinaryong mangagawa dating senador mayamang negosyante
1153,crocs
613,karpentero
933,great pretender lol
220,pogi bam aquino
643,pano makanood mpl
536,mapagpaimbabaw
1018,kikilos camera
887,traydor
911,plastic dilaw vuvu cancer
756,family goal
105,hangcute bam
13,magaral hindi nabubudol masasamang nilalang
648,1ksp
959,matatalinong tao silang uto uto
190,salamat suporta esports bam start gamers
666,owhs
551,dilawan puzzle
500,syang tunay mahirap paniwalaan wala man nanalo
1043,tanga ?!?!
39,senador patuloy sana tulong supporta gaming
587,bam bam lumabas hays
306,bam staunch supporter esports video game development industry philippines search niyo time ambag esport
122,bam pupush esports salute sayo
394,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
608,maglaban sandro bam sandro
109,even fan aquino thanks supporting esports since dota2 makakuha visa pinoy team
941,yes ibang .... bodol
996,bam komunista aquino
206,idol tong bam ata sumusuporta esports scene
361,sana bigger venue finals took minds stress lalo ksagsagan pandemic
338,honorable people indeed put full trust
172,thanks bam good job
580,canned goods negosyo hoping mapili
897,tapos nanaman mahihirap kawawa nanaman mahihirap lalo yong meyembro !!!!!!!!!!
564,mentor aquino acapagal
265,galing tunay followers esports followers thanks bam
1174,plastic
1064,imburnal
686,kala bam aquino
255,salamat
1191,hindi pinklawan nakaupo pwesto wrong timing
949,kind press release work nowadays based prev works
1039,naniniwla naniniwla jan anu
334,fan political journey thank supporting community
48,fan political journey thank supporting community
490,wala titigil mabuti
1179,kala totoo ampt
693,ala kwenta bibili
637,alam pirmado agad
647,padding
1014,pakitang tao tumagal buwan
343,tama taong tapat mapagkakatiwalaan
785,p50
246,matagal nang solid supporter bam aquino esports community
840,abnonoy
537,gagawing 400
348,nice
865,papalakas ulit kabaataan bka mabilog ulit
114,better source frm various funds safeguard stronger
957,mababa utang nonoy langg
838,lugaw utak
981,"tao ,.."
393,negosyante aasenso subukan magnegosyo
303,alam kala paepal since dota days nagsusupport bam
640,please subscribe lenis youtube channel thank
1032,manloloko
497,1v1 idok
962,please wag mahaluan politika community please
146,nice piece legislation nakikinabang hindi batas wlang pkinabang madla pagpalit pangalan naia
179,salamat senator bam aquino
1054,answer pakitang tao
131,supporting esports bam
986,great pretender lol
1062,sure aalma hinayupak pulangaw buti sana pulangaw retirees makukuhanan pera maharlika fund
439,answer dinakamiutouto
627,aleksyon tama
362,thank aquino
484,tagal pinapasa batas mangayan nakakasira tao imbesna makabute
521,eliksyon
1084,pacute leni
1111,ayaw full disclosure bill mas maharlika fund confidential fund
904,answer plastik
1076,corrupt
330,supported nyan future mobile gaming crypto etc
174,idol tong bam ata sumusuporta esports scene
360,thank supporting mlbb teams bam
967,anti poor
33,dhil ngang great macoy kya dhil pmarcos nman gagawa ngyung mging great pilipinas
218,enrolment hirap dati magtapos kolehiyo daming babayaran maswerte kabataan libre kolehiyo
652,aga botante
294,investible funds gsis kukunin hindi mismong pension mas right timing iinvest perang bear timing
46,authored free edu ryt dinedma pnoy thanks contribution thanks prrd making reality
581,aligaligon
1157,hypocrite
