,features_string_format
196,additional info senator bam pinakadahilan wala tayong binabayaran tuition college sana maka nood mpl live huhu
301,diko parin alam natalo bam diokno higit mas magaling nanalong senador
841,bamby fuentes bamby oil
539,early
133,love
1327,pretending
1481,sure aalma hinayupak pulangaw buti sana pulangaw retirees makukuhanan pera maharlika fund
1052,masipag malapit eleksiyon 2022
1452,pakitang tao iboto
1484,pagawa bahay nanay leni
1057,kurty crab
24,fan senator bam thank supporting community
275,nakaka miss senatorbam supporting games
1401,maganda nang marcos hintay umpisa palang mas lalo kang maingit tapos hintay wag magmadali
1403,natatawa traffic enforshit roxas nalala
198,thank supporting
499,1v1 bam
1236,alam pirmado agad
676,gadon
802,fitflop
343,stayed blacklist tnc game mas wild tao supporting esports scene
1354,ambot ninyong upat
1486,answer plastik
747,bigla narinig gadon
372,oky kaniila lods
782,nanay cristy
344,pesos love kind food
181,sana time mapili
300,1v1 idok
1140,meron tlaga negatron
1442,napansin bam aquino parang nagpaparamdam 2016 thank leni dun
1047,inutil
1273,minions
263,bee seat
860,hindi sandro nagpanuakala 1st lady lisa araneta marcos
1105,tanga
362,authored free edu ryt dinedma pnoy thanks contribution thanks prrd making reality
888,10k nnmn
478,sana bigger venue finals took minds stress lalo ksagsagan pandemic
78,saya sana
821,hello garci yuta
1488,pakitangtao
1270,sandro support trust
948,love mritess
1070,hindi pension gagamitin sobrang budget hay naku
1370,katropa sasabihin
895,atty gadon pasok
101,1v1 idok
1101,never
397,maharlika wealth fund
907,sanaol ligtas
595,natatawa tatlong wala bang
134,thanks bam supporting filipino players
1046,marcos foundation held secrecy intended humanity infinite bank statements owned people philippine islands .....
615,6years need maka bawi
442,bam thanks support hindi community pti esports general sayang hindi kita rev major 2022
741,bigla narinig gadon
47,dont let rise marcos yun
382,tama bam aquino pera miyembro
1428,wah basta bam tama kya filed last 2016 dont invalidate governments action
513,love kayo
1430,scripted
852,sanaol ligtas
910,forst
1399,actors mean plastic actors
1293,1ksp
679,hello garci yuta
787,asan 10k
136,bam tara duo
669,bamby fuentes bamby oil
712,atty gadon pasok
1056,repair sakalam
77,tiktokerist
327,fan political journey thank supporting community
118,bigyan bonos yarn
340,answer pesos sana mapili pandagdag need nang babys
1219,bbm parin
767,talidong
357,grabe tlg reklamo agad man isipin muna haist
194,sama niyo next time beke nemen
505,asan 10k
279,jan napa follow
1357,wala bang ganito miss tuloy
509,afk
662,anu bam asporing president aquino clan
1427,never dilawan
57,pls support mobile legend way support esports pls
623,kinamatay late pres noynoy covid
1035,dilawan puzzle
338,paki alam contribution gsis
1321,natawa
603,love mritess
1239,pakawala bbm bam aquino loob partido leni anay pugad anay leni queen anay
908,baby fuentes bambu oil
896,bigla narinig gadon
1240,wag magpanggap bbm parin
1141,plastic plastikan
459,nko mgglit ggwa nnmn nng wento pulahan kaan dhil dilwan btas nng libreng kolehiyo nng aaral
333,bigyan bonos yarn
780,padding
1029,mapag panggap sagot
1323,anuano pinapalabas wala magagawa hindi mapapabagsak pamilyang marcos
1188,hypocrisy
1096,dilawan hambog
468,vegan gonegosyo aasenso
1405,halatang gawain hunyango
966,salceda rep gsis twg
944,twin brother aquino
65,niyo iniisip kukunin pension pera intindihin niyong mabuti sinabi cong sando interview
34,sana bigger venue finals took minds stress lalo ksagsagan pandemic
610,pension kukunin
1216,fake !!!!
314,50pesos
253,supporter
873,clue
0,answer pesos negosyo
1415,paipal
8,yunh sbi madam imelda
743,pension kukunin
1450,president acting
503,early
1027,dilawan
104,man dilawan appreciate apperance like suportado esport specially
814,gadon sakalam
599,yes ibang .... bodol
1496,olats
954,manny pacman president
1295,nagpalit kulay dilaw laht kasama kamera
271,omg senator bam ggwp
418,kapatid kuyan
155,mura horror
525,early
1199,election kasinungalinan
1461,artist election
1466,support bbm
564,atty gadon pasok
952,early
1036,plastic tuwing kampanyahan makikita gaganyan
315,blck game bam
1258,uri basura
316,wag idamay gsis
403,pesos negosyo aquino
975,boy adik author gawing university recto
657,hindi sandro nagpanuakala 1st lady lisa araneta marcos
562,twin brother aquino
336,gamer bam malakas sumuporta esports
951,maui rec create
867,salceda rep gsis twg
41,kuya dami magagalit sayo nyan gwapo kapa heheheh
283,ans canned goods
1420,diba cong sandro cong romualdez nagprincipal author house bill 6398 mapanlinlang maam ces
376,wow
1212,weh
965,fitflop
1495,dilawantama nohh
417,always supporting esports thanks bam
717,tama
1067,abnonoy
243,cool
1192,nagcoconstruction tas nakadamit pangpasyal tas nakagloves
143,bam pupush esports salute sayo
1386,nko halatang sanay ganyang trabaho kumita nayan
1443,mapagpanggap hinayupak
840,nanay kuya jobert kristy fermin
82,always supporting esports thanks bam
591,manny pacman president
517,esses
834,pension kukunin
482,answer canned goods
693,6years need maka bawi
201,paki alam contribution gsis
293,yes tama hnd isugal pera taong bayan iyan kinabukasan pensioner tumanda nalugi garapalan
1348,mam miss meeting
135,looking young handsome bam aquino
23,answer pesos sagot hoping win
940,pension kukunin
761,kafatid
322,gud dsy take gud care god bless
894,skill
423,bam esports
547,pangit lbms google greatest thief world
374,thank aquino
182,answer pesos sagot hoping win
1406,tuta
1016,thef
185,salamat senator bam aquino
828,ganda
346,cosplayer ninoy
1338,feeling relevant ampota
991,nanay kuya jobert kristy fermin
223,work
1297,pustahan gagamitin kamatay pinsan nyan
616,next kiko anjan
554,please subscribe lenis youtube channel thank
416,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
1230,dhil ngang great macoy kya dhil pmarcos nman gagawa ngyung mging great pilipinas
475,thank free tuition every university nakaipon magulang pangpagawa maliit bahay probinsya
999,ganda
1390,dilaw
1112,way alam story
1474,bypocrites
1124,tumakbo politics trabaho
577,atty gadon pasok
600,anu bam asporing president aquino clan
1309,feeling artista galing arte
51,bam kayo nalang magpaganda tournament stage mpl hahahahaha
844,yes ibang .... bodol
89,rip
648,talidong
584,manny pacman president
903,talidong
1451,pagpag kain muna hehehe
1485,family goal
1004,naitinulong bansa
345,diko parin alam natalo bam diokno higit mas magaling nanalong senador
710,bigla narinig gadon
1393,boy pagpag
31,wow supporting sports thank
556,negosyante aasenso subukan magnegosyo
21,senator supported esports since dota2 days
16,saya sana
707,nanay kuya jobert kristy fermin
44,2nd
1459,maganda sibuyas piraso yong pangarap bbm natupad nsa sibuyas
142,yes tama hnd isugal pera taong bayan iyan kinabukasan pensioner tumanda nalugi garapalan
985,forst
507,tama
1094,basura
769,pension kukunin
791,early
137,ans vegan
296,best tlga bam naka supportive esports team player lalo international game
1447,sorry atty lary gadon papalit sau
666,tres flower
1225,fakers
848,pdaf legal
1290,sakit mata dilaw tiktok
337,ayos bam mas mabibigyan pansin lalo esports
1034,bat lumabas bambam
967,ganda
39,thank bam super appreciated suporta ninyo esports
1244,mababa utang nonoy langg
452,fan senator bam thank supporting community
849,gadon sakalam
420,looking young handsome bam aquino
1103,owhs
846,early
1462,answer gadon
122,last game kaba boss
1008,wla kakmpi bam death lhat lalo manalo
354,paki alam contribution gsis
1329,oto2 hindi marunong panday
1058,orocan
1263,ipokrito
1018,election coming
1445,hindi timing hindi naka upo
1083,nmn gawa mana tyuhin
842,talidong
874,love mritess
645,tama
1439,dami pera bambino
1284,wrong timing hindi pinklawan nakaupo nyaha
631,manny pacman president
1334,maniniwala dugo iniiyak
163,stolen shot
1154,bam aquino strikes hakdog
84,time bam maganda ekonomiya rin tinuloy dami palang tinuloy
590,afk
977,mom
1131,rest pink
808,gita
363,wait bam crowd blacklist
893,pdaf legal
294,nko mgglit ggwa nnmn nng wento pulahan kaan dhil dilwan btas nng libreng kolehiyo nng aaral
1301,jusko bam nasa timing nasa bear market global market naka discount
531,please subscribe lenis youtube channel thank
1497,hihihihi kya len len kawawa ksi cnunod nia bambie hihihi
242,iiyak rin sure
98,solid neto bam aquino fan esports since dota days
43,senator supported esports since dota2 days
88,wag idamay gsis
654,please subscribe lenis youtube channel thank
183,forda paramdam ferson
1307,ganyan malapit lapit election
913,yes ibang .... bodol
259,fan political journey thank supporting community
794,early
945,boy adik author gawing university recto
723,well
428,pogi magmura
752,nanay kuya jobert kristy fermin
1093,bam nakalusot
1030,surplus pano nalugi
165,bam aquino author free tuition state university
1463,great pretender lol
716,wow nka wheel chair ngaun
466,kuya dami magagalit sayo nyan gwapo kapa heheheh
130,wonderful xmas
1365,bidabida
306,thank send bam dota esports wwlang kupas supports
1499,plano palang ganyan bam ???
968,early
332,wait bam crowd blacklist
103,amindao bambina maganda economy nuongbtume prrd bumaba pandemic .... salamat bam umamin maayos pamalakad prrd
498,2nd
1364,kambing
1422,iyak
1424,ayaw sana comment kaso nakakasawa makakita ganyang politiko maryik kininana
55,kala bam aquino
375,thank bam making possible esports players
831,2016 yun effect fpgma
1269,resibo pasweldo buwis mamamayan .... interesado dds trolls dyan quota
880,boy adik author gawing university recto
702,salceda rep gsis twg
1189,obob know
997,twin brother aquino
239,idol pengeng skin
1374,answer solid waste
32,always supporting esports thanks bam
1227,ans election
1122,answer pakitang tao
488,oky kaniila lods
63,sagot pesos naway manalo pambili maintenance
1469,alam kng anu dilawan pink pangampanya laang
404,even fan aquino thanks supporting esports since dota2 makakuha visa pinoy team
48,wait bam crowd blacklist
1074,lights camera action
877,hindi sandro nagpanuakala 1st lady lisa araneta marcos
705,hello garci yuta
422,kuya bam salamat pagsuporta gaming community
1247,wla nang delawan maka balik
1268,kala totoo ampt
817,boy adik author gawing university recto
1419,aasahan pinklawan edi komontra komontra natalo
1458,toilet
1294,posonegro dretso nyan
15,1v1 idok
1361,maboto
931,bamby fuentes bamby oil
146,matagal nang solid supporter bam aquino esports community
549,kinamatay late pres noynoy covid
1215,mpagpanggap
962,sorry
1237,election haha
974,well
806,negosyante aasenso subukan magnegosyo
141,wow bagets datingan
1069,dont know laws corruption
1423,hunyang9
59,malakas kaba
1344,sht
402,thank free tuition every university nakaipon magulang pangpagawa maliit bahay probinsya
399,tama kau ayaw kinukontra
1118,anay
56,pesos love kind food
1166,npa enabler okay kaso npa tlaga
370,nice gamer
1324,bam bam lumabas hays
1471,nagkatotoo omg
1372,bam kwenta
463,nice
1023,mas kalbo aalalay dinidik dik kpwa senador
437,san ginaganap
1153,mas mabuti cguro mamimigay kayu bigas naghihirap patayuan nio bahay bubuto ganyan
470,former bam aquino naghehelp man esport players natin makasecure visa compete internationally
823,pangit lbms google greatest thief world
