,features_string_format
1266,poponda lenlen cute jan lenlen dala sako bag maniwala sayo
1584,taas kamay
1509,ask page tiktok uniteam bataan offered job different countries andun pic press bbm legit
2166,ayan nmn bka totoo sacrificial kamatayan nyapara simpatya ouch saklap
1817,pinklawan real
2358,tikman mantika
750,enters kayamanan tatay madaling makuha madala dto bansa maitulong nasa mahihirap
1628,nagpapansin manluluko linlang nman uubra
726,tama idol pang laylayan
397,proud proud anak
163,wow amazing
2258,ubos ata gala nong eleksyon
1222,ngang ordenaryong tao samasasakyan kotse sasakay kisa bus
635,mabuhay pilipinas
2075,non masabi hanap butas tapos tahol tahol haha
1540,potek walastik
2305,atty laos
1377,alam nmn lenlen artista
2376,every country martial law dilawan nagpapangit martial law
1484,actually fam suffered martial hate marcos mine didnt dont reason
135,korek kuya mark nagtataka gingawa nakaupo dami kontra kaloka wala silang magawa puro kontra hays
2204,evil
1013,bus comp dun sumasakay
1696,ayaw paka totoo nalang jusme maari buss sosolo commute yang
974,kuya trip nia ndi gaya grabe luho bumeyahe
155,nagbus pra kunwari simple kono anak aral america patawa aling leni magaling drama
1979,hirap kayo public bus konsentifor kayo madami magnanakaw gobyerno
1098,finally !!!
951,ser
191,wla mgbabago bbm tlga mgbabago
690,nagbus pra kunwari simple kono anak aral america patawa aling leni magaling drama
30,dol umaasa sayo charot
373,tama lod umaasa
998,naku promo pra 2028 election
1206,boss bong taxi iurong pagtakbo eleksyon naka kotse security
1602,mas naniniwala kame dating enrille kesa pinklawan
1036,100percent
2080,naku wag namang sumanib lutang
1534,puro plastikan puro kukunwari leny lugaw bilib sayo pagpuounta abroad babangka panindigan kaplastikan
785,godbless philippines
1594,tama padir
187,best xmas gift ever
1311,aliw basa basa muna
509,tama jan kau
218,enters kayamanan tatay madaling makuha madala dto bansa maitulong nasa mahihirap
2318,alam boong pilipinas kalidad money wag
1033,omsim
916,kaawaan
1585,matanda enrile nauna
240,dol umaasa sayo charot
110,hayaan bsta tau proud loyalist
1188,publicity alam lutang nayan naka tapos nagbus
1757,bad sasabihin dasurv
641,tam jan lods
745,god bless mam isiniswalat katotohan hanggat malusog kpa maganda pra mgkaroon enjoy kna peace harmonious family
86,proud akong ipaglaban bbm nanalo
957,ingnablang many tnaulaw tubag foren policy
2078,magtrending ganyan cila ganyan boquet
1124,pinklawan asar talo
1966,boss idol pakisabi nman nanay traysikel magpapic parang tunay nasa laylayan
1927,mahal gas bus naghihirap len len
1378,boss anung gawin hnd makakapwwsto mataas katungkulan ....
1243,sobrang saya proof dead tlg nmn niloloko nnmn tau makakaliwa
1373,300 negosyo
1977,publicity yang kaawaan netizen
828,"pamasahe europa papuntang maynila naka bus ???, best actres ???"
1608,hypocrisy finest putcha
598,maligayang pasko
4,tam jan lods
2284,batang isip guanzon ganyan asal abogado
733,agree bro
2223,trot sobrang plstic lutangars
167,yes ipagbunye
1770,dami kuda kabila
715,korek idol
713,yes maharlika fund
1105,banat buy .....
1384,indorser
1454,hahahaahaahhah
224,tama kayu
593,met joma kid know joma gave fruit
504,tama boss
2197,nakakatawa tsaka judge tapos term dmi namng salot banda kontrabida
337,quibiuloy hinde convicted yong sinabe madam kasinungalingan aquino dilawan pamumuno joma ninoy
1873,cory papatay ninoy mahalal pagiging presidente cory dimonyo
225,natural secretary dep pinapaalalahan amores wag pabayaan padin aaral
2049,gagawing talk show game show pinas
2239,dami kuda kabila
791,ibang ganda jusko milya milya layo lalo asal cno maganda humble
552,nothing wrong transparency bill helps government
667,quibiuloy hinde convicted yong sinabe madam kasinungalingan aquino dilawan pamumuno joma ninoy
55,shes always
751,solid bbm
672,god good
1025,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
1579,lights camera action nanay len pabili orocan
2164,pinklawan magnanakaw kamo
2354,manipulative uses victim effect manipulate people specially vulnerable one
118,tama lodz
832,enexplain mas nia bus nakakatulog wala personal driver naga nagdadrive kotse
2309,realtalk papasin parang mar
1620,batang isip guanzon ganyan asal abogado
392,agree sayo
1140,naalala tuloy yun nagcomment sayo dollar earning makabili pesos per kilo bigas hahahahahaha
98,started like nkita yun support nmimigay hoodie tshirt bbm sara pocket plus courage
679,love love sara
1711,cory papatay ninoy mahalal pagiging presidente cory dimonyo
1519,part bong bong marcos patay ninoy hindi makakapag pabago desisyon iboto bong bong
1361,see
164,airport mnl naga mnl daraga albay daraga naga takes 4hrs mas komportable bus
1841,trot sobrang plstic lutangars
668,guapo
1818,boss idol pakisabi nman nanay traysikel magpapic parang tunay nasa laylayan
422,salamat tapos mundo
1217,nman cgabby
1498,paulit ulit nlng
1196,cge royal ramble riders palang umatras kayo
1081,hinati pinas sus
1581,nangangampanya lenlen
533,thumbs idol
81,yehe sapagkat bbm nakatadhana
1210,totoo sana
689,godbless philippines
1365,apolo10
1174,hit point
1681,mayaman investor san miguel meralco mahirap papansin
809,malapit election kagawad manalo lenlen
1153,bbm sara uniteam 2022
1326,brad photo
776,godbless philippines
383,nabubuhay kampon marcos fake news kasinungalingan
2008,dyan tataka magmukang malinis bahid kurap
1555,proof patay
1989,kuha sympathy lol
2002,pulis reaction hinayaan barilin
553,best christmas gift
2023,lutang rin
1644,boboto dalawang kumag hihihi
144,yes shes one president president 17th president philippines
1238,forda picture
194,agree
1974,hindi sinagot tanongsabi sasagutin tanong
1226,sulit boto lods kxe dinasila mkamove
331,want christmas
982,fyi mayor plang asawa kpg lumuluwas cla bus tlga hnpin old interview asawa mayor plang jessie robredo
1682,monkey
85,pagkakataong magbago amores
2250,hay naku ngayun lutang parin
478,shes always
2346,mark nasa loob garapon nakakulong kaluluwa makalabas
804,shempre drama fun kuya nmn
2377,kababayan gagamitin dilawanang pagkamatay aquino sana matuto pilipino
1687,babalik nayang sharon gabe wala iiwan nayang kiko
2355,inutakan ninoy fem tapos ninoy inutakan nmn kano devil tlga
306,bbm sara solid
2383,wala silang ibang maisip
848,totoo lacson inuna sabihan unang salita
1621,madaming nakinabang pera kya pinag kaisahan marcos kht abugado media bayad gnya kadumi batas pinas kasabwat kano dyan
949,sna sgautin mdmi ksi ngssbi nabudol sla msasbi lods
2276,nagsimula nagpapa veda making things messed recent panis
431,simpleng buhay gsto nla cla maluhong pamilya kht nging dilg sec asawa commute prin cla anak
315,ibang ganda jusko milya milya layo lalo asal cno maganda humble
1559,yeah
563,madaya apektado kabuhayan pilipino
1655,cla makamove
2109,pinklawan magnanakaw kamo
95,bsta kmi mulat mata nmin
2306,picture
1650,obvious pinkish
1403,ayaw muna lodz ksi yearly namamatay
823,still waiting ready love reaction
904,gagi hahahahahahahhahahaha
762,proudforever kakampink solid leni
1253,nataas qna aydul dun tatanggapin
1805,hay naku wala bang
876,300 hoping
818,hinde declare marcos martial law magiging communist country tong pilipinas
2266,wla lutang rin
148,korek
1211,pinanalabas hindi basta marcos
797,mas magaling ekonimista cong sandro nlng mali
2136,anong gawin tatalunin maam sara lol
1847,never pinklawan
443,hayaan bsta tau proud loyalist
1679,totoo bbm sara nakaka duda soj
1975,parang naag iisip rin magnanakaw marcos inisip thanks god pbbm pres
920,intindhin nlng natin cla ganyan nilalabas galit pagkadismaya pagkatalo lht nlng pinupulitika
228,idol mark
367,nice one lods
1282,halaa grabeha gyud
769,tama nagkakamali diyos nagpapatawad
332,nasayang solid bbm
628,saya saya
2240,jusmiyo
307,grabe mark realtalk
2208,nagmukha syang katawa tawa
530,solid bbm
880,grabe nanay nindo garo man ini ono
2143,wala man sasakyan pwedeng connection pilit elite supporter
1940,lutang mana nanay lenlen nia ....
2369,choice wala kau paki heheheheh
1364,sakit naiisip
1661,haha good gun salute straight shoot coffin nia
1086,actual video nng bnaril ninoy bat sbi libro sniper
627,god good
606,gabby nagmana pati kabaitan suplado
142,opo opo opo masaya 2nd coming hahha next nasa line aabot nang 2025 isa2x masaya sobra2x
521,correct
1004,akala joke totoo tlga
882,raymond sasakyan raymond bus
1518,tutukang binaril talos sniper
510,tama decision vpsara give another chance needs guidance surely hell fine
1492,showie tlaga pati asawa nilalaglag grabe
1194,hays buti nmn sinu susunod pwesto nia rappler
1056,kakandidato ata ulit sbi open rin cia election
1747,naku wag namang sumanib lutang
1849,xempre papansin
1383,bert tawa marcelo
1595,bambam natagpuang nanilbihan gobyerno
476,korek kuya mark nagtataka gingawa nakaupo dami kontra kaloka wala silang magawa puro kontra hays
1535,walastik troll moments hahahahahahaha
1880,ipagpahinga kalusugan kris papatayin yta kapinklawan
1224,anong convicted
2328,maghirap tlga pilipinas
1276,nagpapapansin next election leni
495,saya saya yaho
1677,pinklawan buwang
1591,hindi xandra pagbaril assumed soldiers killed ninoy
2396,uto uto punklawan
401,"piro matuturin amoris ,,, dpat boy rin"
642,nagbus pra kunwari simple kono anak aral america patawa aling leni magaling drama
847,ramos lods pede kmi lumapit sayo charity nmin girls orphanage pamp sana mapansin salamat godbless
2163,kita sundalo sumusunod sakanila wala papalapit babaril bbm parin wag gamitin bbm
1967,kinuha alahas imelda ....
1864,hehe ganon lodz 14m nabola koki matsing aniduro bagsak pinklawan
928,sunod nyan ligo kumain umalis umihi nman arkilado gawin video picture
1523,yaho present
316,bbm sara solid
1288,satisfying eyes
1490,atty !!!!!
1560,tka mura tangkay maliit
2089,katandem pelikula ata
2194,omg embarassing shet
1668,hay naku photo purpose ....
1031,tahimik ngalang nabuking mupa
547,well said
1795,wag maniwala marcos naniwala
830,ginagamit nanaman lumang tiknik
2024,wala kris 2028 haha sakit teh
2156,hinuhuli nah
1963,magpakaarun ingnun bisaya
1694,nlng lods nagbus noong cya alam meron tlgang prob pagsakay bus
1142,mayaman bicol
1045,blackpink ready love reaction
2399,sisihin yun pangatlong pulis tinignan
850,last man stand
498,grabe mark realtalk
859,remulla malakas
1896,parang konektado pagkamatay noy buhay bumubuhay sakin
1349,kayong mamatay lenlen siguro mind praise weak leader take note digong nagsabi nyan kuya
60,solid bbm
656,grabe mark realtalk
629,true agree parang magic yong kauupo solve agad problema pinas
1649,inggit sus laos
507,yeppie hep hep hurray !!!
1549,pra hndi rebelde mging npa
66,idol nice see
1233,bus sasakyan 2nd hand parang mali
437,tama lods tao nagkakamali hindi perpektong tao
582,tama kayu
889,puro pakitang tao style
735,nku wag awayin dilawan pong dilawan close pbbm ngaun
1665,hipokrito lenlen
2212,saba manny department water bugo
649,ipinapakita safe magtravel pinas prrd pbbm
52,namn ulit sinulatan sarah kinukunsibti wag malugmok yjng tao yun wag depres
802,syempre defence mechanism bro
855,nanay papasin kotse magbubus
210,merry merry christmas
2067,chakabride
555,morning mark merry christmas
1219,subokan
1055,prouder coz !!!!!
1611,paandar talunan makamove pinklawan
289,solid bbm nasayang
952,pogi bambam kagabi ugh
434,mabuhay pilipinas god bless philippines marcos
260,enters kayamanan tatay madaling makuha madala dto bansa maitulong nasa mahihirap
958,complete attendance magkakaalaman sinu
1899,omg hahahhaa
1809,"aaminin lalo silang masisira sira ,,, sisirain ala natira"
458,tama mpabyaan aaral
68,namn ulit sinulatan sarah kinukunsibti wag malugmok yjng tao yun wag depres
205,nagbus pra kunwari simple kono anak aral america patawa aling leni magaling drama
1675,talo
446,real talk
1386,naku cinehan samin pbbm kmi
1775,amnesia mama
1988,ndi kalevel wag mong ipilit
688,kagabi nakitawalastik btw love hat
374,korek idol
1554,abogado wikipedia reference
908,ayos
197,owner bus
763,pogi mark
2001,publicity
1758,magdudusa impyerno
829,afford paaralin abroad anak peru bumili sariling sasakyan nagtataka
283,correct !!!
137,bbm sara win
1973,tunay bayani bumaril hindi ninoy
592,loyalista marcos loyalista marcosduterte ilocos region
402,yes maharlika fund
1615,yata 2028
1724,syempre bus madrama papansin
87,owner bus
1697,epal effect strategy nay len lalo nakaka inis gawa
1832,papansini nman
462,nanalo bbm kaloob diyos mabuti syang puso totoo hindi mapag imbabaw
1007,kol away kaaway buhay samantala kilala amores tao sinaktan
79,tama lods
46,best xmas gift ever hehehe
242,thnk lord
816,nanaman whajajajaja
1312,dala kampanya nyan luma len len
613,ehh patas
1299,think pension come investments
766,tama kayu
2112,hinanapan justice cory ninoy means tlga sacrificial lamb tlga like jessie robredo
106,merry merry christmas
1765,slmat nwala sure purgatory
19,tama idol
298,true buti natalo
687,great president philippines
327,pagkakataong magbago amores
978,bat ganun lakad parang lakad maayus
1042,ready love
2034,nagpapatawa len len ordinaryong tao makabili plane ticket len len 10h bus ride
851,like post silbe nawa kase
1125,wlang masamang magbus bto alm ganu magmaneho oras car motor masgusto magbus
27,sinab ing road trip bus idol
699,mabuhay pilipinas god bless philippines marcos
719,natin patawarin ibang lahi kababayan natin long live inday sara
2385,sana sinali photo yong entourage lenlen
2020,dont tolerate wrong
139,efficient always
1296,nakataas
2094,totoo ilang beses namatay ilang buwan patay ulit
2167,pamilya aquino pumtay
259,gabby nagmana pati kabaitan suplado
1230,concert eraserhead 15m nanood flop rin
58,"piro matuturin amoris ,,, dpat boy rin"
2323,yata 2028
2139,naku ..... bobo tao ..... halos alam tlga sakit noynoy aquino .....
2187,buti tatay mong nabaril hahahhaha
1430,become nagbubus province manila natigil
1654,bro answer question deym
2151,pinklawan umaasa tallano gold umaasa lagi ayuda
568,wow amazing
2051,tumpak kakatawa
1686,malakas nagkakasakit nang hihina bat malakas tandem
1889,gising gising panlilinlang dilawan
1394,wala leni tlga iboto siryoso
1041,gagawing bodyguard inday sara
2210,publicity inuulit mamatay adawa yun balak tumakbo naka anib dilaw naku tama
2046,lutang maka move
1999,hoy gising !!!
2025,cla pagtatawanan flood nnmn memes nian sure
346,alam pinagdadaanan tao tayong kakamali wag manghusga
1019,san kau cya nagpunta ngyon lodz
2102,parehas rin lutang
2160,ata something kinikilos nakakatawa jan
779,foi bill transparency none gain trust thats answer transparency forms
1057,content boss
885,tapos kalagitnaan highway pumara makakakita gitna hiway pumara hindi terminal
1658,juice coh
1118,best gift filipino people
111,masyadong visible matutuwid
1466,joke napadaan cla jan tpos picture sbay post tpos alis agd kng bus dami picture kumakalat
2022,totoo idol patay traidor pinas
436,god good
117,ibang ganda jusko milya milya layo lalo asal cno maganda humble
637,nku wag awayin dilawan pong dilawan close pbbm ngaun
2193,hindi bigyan chance maka ginagamit tao
364,saya saya yaho
844,ruel silva ayusin wah
1302,panay abroad tapus sariling sasakyan niluluko nitong leni trip
622,nku wag awayin dilawan pong dilawan close pbbm ngaun
2242,naloko
1035,napunta galman nakakulong mabuksan uli kaso nayan
2017,banat bay knaiinisan
1932,dami kuda kabila
1814,15k plus totoong tao 31k ghost magician
406,yes bbm sarah solid
2189,keyword pampam
1580,hala itinatago leni
1415,alam lods
814,haha
270,saya saya
215,sinab ing road trip bus idol
31,president maam leni love poh ingat palage god bless
2092,luh nagkalat nman toxic lods pakiwalis
1731,!!!!! dami tawa dto grabe nmn ayaw magsisuko !!! itulog pbbmvpsara sakalam
1113,buhay tuta niyo ipagtuloy leni lutang
942,beb beyonce fan renaissance !!!
1970,nanay lenlen wag kaming 32million
2124,wag maniwala marcos naniwala
41,tama lods
1191,puppet
1738,welcome impierno hehehe
730,present best christmas gift ever
623,great president philippines
1781,bus wal akong pakialam mamalen len
1833,monkey
1552,wahahhahahah
1779,leni lugaw ttakbo ulit aga
577,tamoh !!!!
1950,makapiling tatay masi kriminal naka kulong
1812,epal effect strategy nay len lalo nakaka inis gawa
37,tama idol
2011,kagagawan niyan alam ninoy mamamatay
574,maligayang pasko
362,airport mnl naga mnl daraga albay daraga naga takes 4hrs mas komportable bus
845,nagtweet former senator bam aquino issue
1116,ocfemianapansin naghanap movie toni puro nasa directors club almst tiket pano makakapanood masa
1501,sna mpansin nio pki check nio uniteam bataan name ofw taiwan bbm supporter
703,agree 100
1369,wala
576,matalino nakaka intindi sara tao deserve 2nd chance perfect tao
1382,pasko reunion
1214,popoy
185,sus ngsyun sana bbm sara malakas
1402,news hindi trending
174,tama boss
1893,epokrita
929,kase bila day process
0,true
1407,kol dipo silq totol wrong timing magandang idea piro nakaupo nakaidip
1317,pinklawan panay inom cool aid
682,game
2253,mabubuang jud pinas ganyan
792,diba nanalo prrd maygkaka martial law ulit nagkaron marawi kaguluhan tumagal matagumpay afp
2257,wag kalat nnman
752,correct convince sara aral tapusin nasimulan
1236,wag maingay mahuli naglalaro jackenpoy
1198,maniwala jan pati anak nia kasama nia bus
1129,madam lenlen malau election saka kng darating election inday sara makaka bangga
707,yahopoo
2173,korea kau dumiretso
2277,balak patayin hinawakan dawalang pulis kamay ninoy
1123,letg
990,nakakatakot bam aquino fansign chariz
269,yehey
1936,wla kotse kampanya early mama lenlen
244,kagabi nakitawalastik btw love hat
1075,bro tama funny baman tlga respect tama bag comment dto sna dmo pinakita muka ksi pinag
2116,luquhon saderi manang saderi manlang ino2
922,sobrang talino lodi lock utak
1715,hindi alam magkano pamasahe
1231,bka nbibigla puede kpa umatras isip
608,correct
1278,kumita tubo kaso olats
1754,marcos magnanakaw
646,saya saya
907,push paniniwala
1338,hes dead next renato casino leni ....
179,bbm sara solid
11,tumpak
93,pahinga nalang
1089,sure
1586,kumukuha simpatya tao gagamitin nnmn pagkamatay pnoy maka kuha simpatya gaya ama pinoy
1871,mabubuang jud pinas ganyan
506,galing joke
2379,!!!!! dami tawa dto grabe nmn ayaw magsisuko !!! itulog pbbmvpsara sakalam
235,proudforever kakampink solid leni
2387,nako banal rin bus sinakyan lenlen maya2 rin museum bus yun
1121,usually tao victim focus sided every situation
1016,gumastos million million election sariling sasakyan
2062,lutang mana nanay lenlen nia ....
2015,beb wag silang idemand magresearch nagpaupo presidente nang naghihistorical fact check hahahahahahahahahahahahahahahahahahaha
1184,brutality
21,tama mpabyaan aaral
239,tama idol pang laylayan
1451,luh baket ???? hindi napaparusahan !!! good riddance tho
934,dati nakakainis cla natatawa nlng
1115,tanas
1868,pansin buraha
925,publicity kunwari maka masa taz election papakita nararamdaman nararamdaman nakakarami pinoy
69,correct convince sara aral tapusin nasimulan
15,godbless philippines
365,true
1821,yun banta natalo len len kakagulo
1037,tnt
1517,naku ???
780,bbm sara solid
1355,sinabing 20kilo bigas sibuyas yun
2083,hindi alam magkano pamasahe
1524,case dismissed
252,diba nanalo prrd maygkaka martial law ulit nagkaron marawi kaguluhan tumagal matagumpay afp
1310,hnde cia aantay kalsada dati
755,hero john amores lampa cry babies benilde players
2384,hahaha tama pamana mama lyn lyn wala ayos utak ....
35,back back negative gdp inflation tinaas dolyar peso inutang noong tinaas gumanda
1855,malooy tawon katawhan
874,plastic nanay lenlen huag padala
2161,saba manny department water bugo
190,game
1641,luquhon saderi manang saderi manlang ino2
232,bbmsolid
1162,pinipilit prrd hindi bagay
386,proudforever kakampink solid leni
1583,true mauto
1964,publicity tawag dyn hehe
725,idol kaso ayaw nang lawyer pera pera
281,solid pbbm vpsara
1780,amnesia mama
2233,paawa sus wala kotse imposible nman wala
557,loyalista marcos loyalista marcosduterte ilocos region
1414,sumalo onionbuquet
1764,lutang mana nanay lenlen nia ....
520,tama lod umaasa
2337,fake news taga libiral party nagpapatay ninoy
1905,dami say tahimik katips nilangaw
480,idol mark musta naic cavite
2142,bigyansya nang gun salute hindi deserving nuh tingnan natin nandun
987,cno secretary
2361,hnd
1280,tunay nmn mapapatanong sana pinaayus mnlng daanan nyang lugar mapapamura
452,idol boxing
1603,bitter lods
2243,buhay ahm
1688,welcome impierno hehehe
1295,pakitang tao masabi nararamdman laylayan pabalik balik ibang banza pilipinas bus manguto
2362,dios miyo namakabalik dilawan
153,totoo convicted criminal liability already served payment penalty
156,mahigpit yakap forever kakampink
107,sasabi kamali nang content creator finolow
718,sinab ing road trip bus idol
1444,nalang kinocompara mahal sine pambili nlng ulam bigas hehehehe
1630,layo ganda kaptid nyang disiplina
2005,malakas nagkakasakit nang hihina bat malakas tandem
1680,ayaw paka totoo nalang jusme maari buss sosolo commute yang
1634,nagsimula nagpapa veda making things messed recent panis
1450,inang lenlen masaya kayo
53,well said
12,morning mark merry christmas
1474,round round
1147,nman lge tallano gold
77,agree bro
1429,san reaction vid ready love
2200,tawag paawa effect
2090,kadala dala
1653,sumanib nlng mama lenlen
720,pagkakataong magbago amores
650,bsta kmi mulat mata nmin
1435,reenactment
1598,buti nalang kamukha
390,tama idol
1904,lol adik
261,yehe sapagkat bbm nakatadhana
49,wag natin patulan bagkus hikayatin natin manahimik makipagtulungan susunod mamumuno
2013,magmukhng makamasa nilalaro nmn tau lenlen
1803,maghirap tlga pilipinas
145,opo opo opo masaya 2nd coming hahha next nasa line aabot nang 2025 isa2x masaya sobra2x
1588,ngawa pinkiss
1570,maalala tao electionhang aga
2121,okay basta itapat baril
2231,wala hulog sagot laging nililiko sagot tanong
1053,layo 2028 aga paawa epik
930,alam marcos matay ninoy aquino
2392,umaasa araw araw lods ayaw nlng magtrabaho maayos puro reklamo
2103,nilalaro taong bayan
1279,sana kakayahang bumili sasakyan
865,namn maturuan nang lection
1607,humble effect mama lenlen
773,nanggaling pension dba kinita investment
600,god good
1533,alanagan manood toni pinapalabas
2363,neverforget notohistoricalrevisionism
581,foi bill transparency none gain trust thats answer transparency forms
1545,nagday driver
7,bbmsolid
32,huh anong reasoning kapanipaniwala namang nagbubus pang naga jusq koya
2341,knowlang alam mong sbhn
505,"magdiwang ,,,"
616,sumakay bus mananalo susunod eleksyon
1929,mapunta taning ulit kilusan
767,nanlibre
1405,plastic balak atang tumakbo election
605,quibiuloy hinde convicted yong sinabe madam kasinungalingan aquino dilawan pamumuno joma ninoy
1890,yong binoto bmm dhil gold tita akala bibiro meron nman kombinsi knya iboto bbm
800,alam pra masabi maka masa
376,ganda kanta bagay bagay
514,hindi batas militar nsa pagbbgo
1021,square inch square ins
268,!.. galing
245,agree sayo
1171,job demolish anyone gets way
1321,cge inday sarah ewan
1410,trip boi inaano leni
1289,wawa
2380,yun banta natalo len len kakagulo
2365,kris tatakbo pagka bise presidente hirap yatang maglakad jusko atska malakas hinanghina
1001,relate sara bush suntok sherif
1330,sleeper bus papuntang bicol
2084,post pics face laugh dont right post pics video come
1328,edi ninoy matagal syang inaantay nun
969,million compare 14m
1182,wala kabang reaction vid ready love
451,proud akong ipaglaban bbm nanalo
2154,post pics face laugh dont right post pics video come
1557,taga camsur dai kayan nauto
99,tama lodz
610,godbless philippines
326,leni cge nlng presidente
1562,beauties beasts
1742,patatamaan kakampink
2312,pinkie pops yellowdds
989,tigil politics tapos election tumulong pababain inflation action puro daldal
203,thnk lord
973,diba talino
853,akala aquino bambam1a
2170,patawa namantama pbbm vpsara parin
1877,hayaan pahirapan susunod maglakad nalang
2320,kris tatakbo pagka bise presidente hirap yatang maglakad jusko atska malakas hinanghina
1772,pinklawan cla araw araw umaasa mabigyns nalaman gold ipapamigay
1483,tawagin carpio
1481,legit 102percent
1487,hindi aaksaya ganun papabor inyo nyong fakenews totoo ayaw mamulat katotohanan
208,owner bus
1576,btw video ipinakita lucianda massacre
1753,san interview enrile balita ininterview napagtanggol enrile srili
625,correct
1114,tour sabay bus uwi
1714,corykongpanotabnoy aquino magnanakaw corykongpanotabnoy aquino magnanakaw corykongpanotabnoy magnanakaw
2296,dalawang aquino pres binuksan kaso tpos puro sisi marcos kapal mukha aquino
562,maligayang pasko
534,totoo convicted criminal liability already served payment penalty
815,suporters bbm tahimik
1322,trying hard pdin till
54,basta bbm rin magbabago
1099,kinocondition years maxadong excited afford plane europe bus papuntang bicol
1870,maaga kinuha god abnoy bobo umupo gobyerno
923,syempre
223,well said
630,nice one idol
1044,new hair madam intro
2097,garter kukunin groom hita bride sibuyas sana meron
1998,hehhee maagang pamasko pgka matay
2289,buti mtatalino bumoto bbm inay patay tayong nkktakot cya msama plano
125,opo opo opo masaya 2nd coming hahha next nasa line aabot nang 2025 isa2x masaya sobra2x
1547,haisst iyan
1972,banat bay knaiinisan
